lizard	eggnog
PRELID2	PRELID2
GRXCR2	GRXCR2
SH3RF2	SH3RF2
PLAC8L1	PLAC8L1
LARS	LARS
RBM27	RBM27
POU4F3	POU4F3
GPR151	GPR151
PPP2R2B	PPP2R2B
STK32A	STK32A
DPYSL3	DPYSL3
JAKMIP2	JAKMIP2
SFXN1	SFXN1
DRD1	DRD1
MSX2_CHICK	MSX2
HMP19	HMP19
CPEB4	CPEB4
BOD1	BOD1
STC2	STC2
F1NC42_CHICK	NKX2-5
BNIP1	BNIP1
CREBRF	CREBRF
ERGIC1	ERGIC1
F1NPP0_CHICK	DUSP1
NEURL1B	NEURL1B
SH3PXD2B	SH3PXD2B
STK10	STK10
EFCAB9	EFCAB9
ADRB2	ADRB2
SH3TC2	SH3TC2
PHF2	PHF2
FAM120A	FAM120A
WNK2	WNK2
NINJ1	NINJ1
C9ORF89	C9ORF89
SUSD3	SUSD3
FGD3	FGD3
BICD2	BICD2
TMEM40	TMEM40
TKT	TKT
DCP1A	DCP1A
CHDH	CHDH
IL17RB	IL17RB
ACTR8	ACTR8
SELK	SELK
CACNA2D3	CACNA2D3
LRTM1	LRTM1
ACSS3	ACSS3
LIN7A	LIN7A
MYF5	MYF5
MYF6	MYF6
PTPRQ	PTPRQ
RPS16	RPS16
PPP1R12A	PPP1R12A
PAWR	PAWR
SYT1	SYT1
NAV3	NAV3
E2F7	E2F7
CSRP2	CSRP2
ZDHHC17	ZDHHC17
OSBPL8	OSBPL8
NAP1L1	NAP1L1
PHLDA1	PHLDA1
KRR1	KRR1
GLIPR1L2	GLIPR1L2
CCDC107	CCDC107
CAPS2	CAPS2
KCNC2	KCNC2
TRHDE	TRHDE
TPH2	TPH2
TBC1D15	TBC1D15
RAB21	RAB21
TMEM19	TMEM19
ZFC3H1	ZFC3H1
LGR5	LGR5
TAC3	TAC3
ZBTB39	ZBTB39
GPR182	GPR182
AKAP14	AKAP14
NKAPL	NKAP
ZBTB33	ZBTB33
FAM70A	FAM70A
G3BP1	G3BP1
GLRA1	GLRA1
ROBO1	ROBO1
ZYG11B	ZYG11B
SELRC1	SELRC1
FAM159A	FAM159A
SLC26A8	SLC26A8
E1C697_CHICK	GPX7
ZCCHC11	ZCCHC11
PRPF38A	PRPF38A
ORC1	ORC1
CC2D1B	CC2D1B
ZFYVE9	ZFYVE9
BTF3L4	BTF3L4
TXNDC12	TXNDC12
RAB3B	RAB3B
F1NLC8_CHICK	NRD1
OSBPL9	OSBPL9
EPS15	EPS15
RNF11	RNF11
FAF1	FAF1
DMRTA2	DMRTA2
ELAVL4	ELAVL4
AGBL4	AGBL4
BEND5	BEND5
Q5ZMP8_CHICK	SPATA6
SLC5A9	SLC5A9
RP11-543D5.3.1	TRABD2B
S1PR2	S1PR2
PRKCQ	PRKCQ
DRAM1	DRAM1
ARAP2	ARAP2
DTHD1	DTHD1
KIAA1239	KIAA1239
C4ORF19	C4ORF19
RELL1	RELL1
PGM2	PGM2
TBC1D1	TBC1D1
KLF3	KLF3
FAM114A1	FAM114A1
KLHL5	KLHL5
WDR19	WDR19
RFC1	RFC1
KLB	KLB
RPL9	RPL9
LIAS	LIAS
UGDH	UGDH
C4ORF34	C4ORF34
UBE2K	UBE2K
PDS5A	PDS5A
N4BP2	N4BP2
RHOH	RHOH
CHRNA9	CHRNA9
RBM47	RBM47
NSUN7	NSUN7
APBB2	APBB2
UCHL1	UCHL1
LIMCH1	LIMCH1
TMEM33	TMEM33
SLC30A9	SLC30A9
BEND4	BEND4
ATP8A1	ATP8A1
GRXCR1	GRXCR1
KCTD8	KCTD8
YIPF7	YIPF7
GUF1	GUF1
JPH1	JPH1
GDAP1	GDAP1
PI15	PI15
CRISPLD1	CRISPLD1
HNF4G	HNF4G
ZFHX4	ZFHX4
PEX2	PEX2
PKIA	PKIA
FAM164A	ZC2HC1A
STMN2	STMN2
HEY1	HEY1
TPD52	TPD52
ZBTB10	ZBTB10
ZNF704	ZNF704
PAG1	PAG1
MRPL53	MRPL53
FABP5	FABP5
PMP2	PMP2
F1NDE8_CHICK	FABP4
IMPA1	IMPA1
ZFAND1	ZFAND1
CHMP4C	CHMP4C
SNX16	SNX16
MMP2	MMP2
IRX6A	IRX6
IRX5	IRX5
FTO	FTO
RPGRIP1L	RPGRIP1L
AKTIP	AKTIP
RBL2	RBL2
CHD9	CHD9
TOX3	TOX3
PIGC	PIGC
UHMK1	UHMK1
NOS1AP	NOS1AP
C14ORF80	C14ORF80
MGST3	MGST3
LRRC52	LRRC52
ADCY10	ADCY10
HIATL1	HIATL1
SPINZ_CHICK	SPIN1
NXNL2	NXNL2
S1PR3	S1PR3
SHC3	SHC3
CKS2	CKS2
SECISBP2	SECISBP2
SEMA4D	SEMA4D
GADD45G	GADD45G
DIRAS2	DIRAS2
EGFL8	EGFL8
AGPAT1	AGPAT1
RNF5	RNF5
PBX2	PBX2
C4A	C4A
ZNF167	ZNF852
C12ORF59	TMEM52B
DCAF4	DCAF4
ZFYVE1	ZFYVE1
RBM25	RBM25
PSEN1	PSEN1
PAPLN	PAPLN
NUMB	NUMB
HEATR4	HEATR4
ACOT1	ACOT4
DNAL1	DNAL1
C14ORF43	ELMSAN1
Q5F370_CHICK	PTGR2
TMEM62	TMEM62
UBR1	UBR1
CRDS2	CRDS2
SDHB	SDHB
ATP13A2	ATP13A2
CROCC	CROCC
NECAP2	NECAP2
CA144_CHICK	SZRD1
FBXO42	FBXO42
RSG1	RSG1
EPHA2	EPHA2
FAM131C	FAM131C
CLCNKB	CLCNKA
HSPB7	HSPB7
SPEN	SPEN
FBLIM1	FBLIM1
SLC25A34	SLC25A34
PLEKHM2	PLEKHM2
RSC1A1	RSC1A1
DDI2	DDI2
DDOST	DDOST
SH2D5	SH2D5
F1N8H6_CHICK	HP1BP3
EIF4G3	EIF4G3
ECE1	ECE1
ALPL	ALPL
USP48	USP48
LDLRAD2	LDLRAD2
HSPG2	HSPG2
CELA3B	CELA3B
CCDC23	CCDC23
TRIM62	TRIM62
PADI2	PADI2
RCC2	RCC2
ARHGEF10L	ARHGEF10L
IGSF21	IGSF21
KLHDC7A	KLHDC7A
F1NYC8_CHICK	PAX7
TAS1R2	TAS1R2
ALDH4A1	ALDH4A1
IFFO2	IFFO2
UBR4	UBR4
KIAA0090	EMC1
PQLC2	PQLC2
CAPZB_CHICK	CAPZB
MINOS1	MINOS1
NBL1	NBL1
HTR6	HTR6
TMCO4	TMCO4
Q800I0_CHICK	TNFRSF8
MIIP	MIIP
MFN2	MFN2
PLOD1	PLOD1
KIAA2013	KIAA2013
ANF_CHICK	NPPB
CLCN6	CLCN6
MTHFR	MTHFR
AGTRAP	AGTRAP
DRAXI_CHICK	DRAXIN
MAD2L2	MAD2L2
FBXO6	FBXO6
FBXO2	FBXO2
PTCHD2	PTCHD2
UBIAD1	UBIAD1
MTOR	MTOR
ANGPTL7	ANGPTL7
EXOSC10	EXOSC10
SRM	SRM
SS2	SS2
F1NAP6_CHICK	MASP2
TARDBP	TARDBP
CASZ1	CASZ1
PEX14	PEX14
DFFA	DFFA
APITD1	APITD1
PGD	PGD
KIF1B	KIF1B
UBE4B	UBE4B
NMNAT1	NMNAT1
LZIC	LZIC
CTNNBIP1	CTNNBIP1
CLSTN1	CLSTN1
PIK3CD	PIK3CD
TMEM201	TMEM201
SLC25A33	SLC25A33
SPSB1	SPSB1
H6PD	H6PD
GPR157	GPR157
SLC2A5	SLC2A5
CA6	CA6
F1NZ78_CHICK	ENO1
RERE	RERE
NP_001096405.1	SAMD11
NOC2L	NOC2L
KLHL17	KLHL17
PLEKHN1	PLEKHN1
C1ORF170	C1ORF170
HES1	HES4
AGRN	AGRN
RNF223	RNF223
C1ORF159	C1ORF159
TTLL10	TTLL10
TNFRSF18	TNFRSF18
SDF4	SDF4
B3GALT6	B3GALT6
FAM132A	FAM132A
UBE2J2	UBE2J2
ACAP3	ACAP3
E1BUI0_CHICK	PUSL1
CPSF3L	CPSF3L
GLTPD1	GLTPD1
TAS1R3	TAS1R3
DVL1	DVL1
MXRA8_CHICK	MXRA8
AURKAIP1	AURKAIP1
CCNL2	CCNL2
MRPL20	MRPL20
TMEM88B	TMEM88B
VWA1	VWA1
ATAD3A	ATAD3A
TMEM240	TMEM240
SSU72_CHICK	SSU72
MIB2	MIB2
MMP23B	MMP23B
CDC2L1	CDK11A
SLC35E2B	SLC35E2
F1NVZ0_CHICK	NADK
TMEM52	TMEM52
ANKRD33B	ANKRD33B
DAP	DAP
FAM49B	FAM49B
ASAP1	ASAP1
KCNJ8	KCNJ8
LDHB	LDHB
NP_001156332.2	KISS2
GYS2	GYS2
C12ORF39	C12ORF39
LRMP	LRMP
CASC1	CASC1
LYRM5	LYRM5
KRAS	KRAS
C10ORF47	C10ORF47
ECHDC3	ECHDC3
USP6NL	USP6NL
CELF2	CELF2
RADIL	RADIL
AP5Z1	AP5Z1
FOXK1	FOXK1
TRAK1	TRAK1
CCK	CCK
Q3MUH5_CHICK	FANCL
RPS24	RPS24
F1NIK7_CHICK	POLR3A
DLG5	DLG5
DMRT2	DMRT2
DMRT1	DMRT1
KANK1	KANK1
DOCK8	DOCK8
Q5ZK54_CHICK	CBWD1
C9ORF71	TMEM252
PIP5K1B	PIP5K1B
FXN	FXN
TJP2	TJP2
GTF2H4	GTF2H4
VARS2	VARS2
SPEB_CHICK	AGMAT
CDA	CDA
HLA-DMB	HLA-DMB
CXXC5	CXXC5
TMEM173	TMEM173
FAM193A	FAM193A
KIAA0232	KIAA0232
CCDC96	CCDC96
TADA2B	TADA2B
GRPEL1	GRPEL1
SORCS2	SORCS2
AFAP1	AFAP1
SYNDIG1	SYNDIG1
SEC23B	SEC23B
DTD1	DTD1
SLC24A3	SLC24A3
RIN2	RIN2
NAA20	NAA20
CRNKL1	CRNKL1
C20ORF26	C20ORF26
RALGAPA2	RALGAPA2
PLK1S1	PLK1S1
XRN2	XRN2
NKX2-2	NKX2-2
PAX1	PAX1
TBC1D10A	TBC1D10A
ATG2A	ATG2A
MGLL	MGLL
KBTBD12	KBTBD12
RUVBL1	RUVBL1
EEFSEC	EEFSEC
UTP15	UTP15
ANKRA2	ANKRA2
BTF3	BTF3
TMEM171	TMEM171
FCHO2	FCHO2
PTCD2	PTCD2
MRPS27	MRPS27
MAP1B	MAP1B
MCCC2	MCCC2
BDP1	BDP1
SI:CH211-39K3.2	SERF1A
Q98SU9_CHICK	SMN1
GTF2H2	GTF2H2
OCLN	OCLN
MARVELD2	MARVELD2
RAD17	RAD17
Q5F4A8_CHICK	TAF9
CCDC125	CCDC125
ZFYVE16	ZFYVE16
FAM151B	FAM151B
DHFR	DHFR
MSH3	MSH3
RASGRF2	RASGRF2
CKMT2	CKMT2
ZCCHC9	ZCCHC9
ACOT12	ACOT12
SSBP2	SSBP2
ATG10	ATG10
RPS23	RPS23
ATP6AP1L	ATP6AP1L
XRCC4	XRCC4
VCAN	VCAN
HAPLN1	HAPLN1
P2RX2	P2RX2
OAS3	OAS2
PLA2G3	PLA2G3
INPP5J	INPP5J
RP3-412A9.11.1	SELM
SMTN	SMTN
OSBP2	OSBP2
C5ORF52	C5ORF52
DUSP18	DUSP18
SLC35E4	SLC35E4
TCN2	TCN2
PES1	PES1
MTFP1	MTFP1
SEC14L2	SEC14L3
RNF215	RNF215
CCDC157	CCDC157
SF3A1	SF3A1
TMEM217	TMEM217
RHBDD3	RHBDD3
EWSR1	EWSR1
GAS2L1	GAS2L1
RASL10A	RASL10A
AP1B1	AP1B1
THOC5	THOC5
NIPSNAP1	NIPSNAP1
CIDEC	CIDEC
CABP7	CABP7
ZMAT5	ZMAT5
UQCR10	UQCR10
ASCC2	ASCC2
MTMR3	MTMR3
MAP4K4	MAP4K4
IL1R2	IL1R2
IL1R1	IL1R1
BCAT1	BCAT1
GOLT1B	GOLT1B
RECQL	RECQL
PYROXD1	PYROXD1
Q5F3E0_CHICK	PLEKHB1
FAM168A	FAM168A
RELT	RELT
ARHGEF17	ARHGEF17
XRN1	XRN1
GK5	GK5
TFDP2	TFDP2
ATP1B3	ATP1B3
GRK7	GRK7
RNF7	RNF7
RASA2	RASA2
ZBTB38	ZBTB38
RNF130	RNF130
SLC16A14	SLC16A14
FBXO36	FBXO36
TRIP12	TRIP12
DNER	DNER
PID1	PID1
SPHKAP	SPHKAP
WDR69	WDR69
CCL20	CCL20
SLC19A3	SLC19A3
AGFG1	AGFG1
MRPL44	MRPL44
MFF	MFF
COL4A4	COL4A4
RHBDD1	RHBDD1
IRS1	IRS1
NYAP2	NYAP2
DOCK10	DOCK10
HAO1	HAO1
BMP2	BMP2
FERMT1	FERMT1
LRRN4	LRRN4
CRLS1	CRLS1
MCM8	MCM8
TRMT6	TRMT6
CHGB	CHGB
GPCPD1	GPCPD1
NAPB	NAPB
GZF1	GZF1
GABRP	GABRP
RANBP17	RANBP17
NPM1	NPM1
Q9I950_CHICK	FGF18
FBXW11	FBXW11
HSPA9	HSPA9
KLHL1	KLHL1
CUL3	CUL3
FAM124B	FAM124B
SERPINE2	SERPINE2
WDFY1	WDFY1
AP1S3	AP1S3
SCG2	SCG2
KCNE4	KCNE4
ACSL3	ACSL3
FARSB	FARSB
SGPP2	SGPP2
PAX3	PAX3
EPHA4	EPHA4
CBLN4	CBLN4
CPNE4	CPNE4
MRPL3	MRPL3
NEK11	NEK11
ASTE1	ASTE1
ATP2C1	ATP2C1
PIK3R4	PIK3R4
EFNA5	EFNA5
FBXL17	FBXL17
FER	FER
PJA2	PJA2
MAN2A1	MAN2A1
TMEM232	TMEM232
SLC25A46	SLC25A46
WDR36	WDR36
CAMK4	CAMK4
STARD4	STARD4
EPB41L4A	EPB41L4A
APC	APC
SRP19	SRP19
REEP5	REEP5
DCP2	DCP2
MCC	MCC
YTHDC2	YTHDC2
KCNN2	KCNN2
TRIM36	TRIM36
PGGT1B	PGGT1B
CCDC112	CCDC112
FEM1C	FEM1C
TICAM2	TMED7
CDO1	CDO1
ATG12	ATG12
AP3S1	AP3S1
LVRN.1	AQPEP
COMMD10	COMMD10
SEMA6A	SEMA6A
DTWD2	DTWD2
DMXL1	DMXL1
TNFAIP8	TNFAIP8
CXORF30	CXORF30
TMEM47	TMEM47
Q9PTS7_CHICK	DMD
TAB3	TAB3
GK	GK
NR0B1	NR0B1
IL1RAPL1	IL1RAPL1
CDH5	CDH5
TSTA3	TSTA3
ARHGAP39	ARHGAP39
RHPN1	RHPN1
TOP1MT	TOP1MT
LY6E	LY6E
LYPD2	LYPD2
PSCA	PSCA
ARSG	ARSG
WIPI1	WIPI1
PRKAR1A	PRKAR1A
FAM20A	FAM20A
ABCA8	ABCA10
ABCA5	ABCA5
MAP2K6	MAP2K6
KCNJ16	KCNJ16
KCNJ2	KCNJ2
SOX9	SOX9
SLC39A11	SLC39A11
PKNOX2	PKNOX2
FEZ1	FEZ1
ELMOD3	ELMOD3
RETSAT	RETSAT
KDM4C	KDM4C
GLDC	GLDC
UHRF2	UHRF2
KIAA2026	KIAA2026
MLANA	MLANA
ERMP1	ERMP1
KIAA1432	KIAA1432
PDCD1LG2	PDCD1LG2
ABLIM3	ABLIM3
AFAP1L1	AFAP1L1
GRPEL2	GRPEL2
PCYOX1L	PCYOX1L
IL17B	IL17B
KC1A_CHICK	CSNK1A1
ARHGEF37	ARHGEF37
PPARGC1B	PPARGC1B
ZNF280D	ZNF280D
SLC26A2	SLC26A2
HTR4	HTR4
FBXO38	FBXO38
IL12B	IL12B
KCNIP1	KCNIP1
O93393_CHICK	KCNMB1
LCP2	LCP2
FOXI1	FOXI1
DOCK2	DOCK2
FAM196B	FAM196B
CCDC99	SPDL1
SLIT3	SLIT3
RARS	RARS
ODZ2	TENM2
EMX2	EMX2
RAB11FIP2	RAB11FIP2
FAM204A	FAM204A
Q5ZMM9_CHICK	CACUL1
NANOS1	NANOS1
EIF3A	EIF3A
FAM45A	FAM45A
SFXN4	SFXN4
PRDX3	PRDX3
GRK5	GRK5
RGS10	RGS10
TIAL1	TIAL1
BAG3	BAG3
INPP5F	INPP5F
MCMBP	MCMBP
SEC23IP	SEC23IP
PPAPDC1A	PPAPDC1A
WDR11	WDR11
FGFR2	FGFR2
E1BVG9_CHICK	ATE1
NSMCE4A	NSMCE4A
TACC2	TACC2
BTBD16	BTBD16
PLEKHA1	PLEKHA1
HTRA1	HTRA1
H2AFY	H2AFY
NEUROG1	NEUROG1
CXCL14	CXCL14
SLC25A48	SLC25A48
FBXL21	FBXL21
TGFBI	TGFBI
SMAD5	SMAD5
TRPC7	TRPC7
SPOCK1	SPOCK1
KLHL3	KLHL3
HNRNPA0	HNRNPA0
F1NLN0_CHICK	NPY6R
MYOT	MYOT
PKD2L2	PKD2L2
FAM13B	FAM13B
WNT8A	WNT8A
NME5	NME5
HNRNPAB	HNRNPAB
AGXT2L2	AGXT2L2
RPS15A	RPS15A
CLK4	CLK4
RASGEF1C	RASGEF1C
ARHGAP24	ARHGAP24
GFPT2	GFPT2
CNOT6	CNOT6
ADAMTS2	ADAMTS2
RUFY1	RUFY1
HNRNPH1	HNRNPH1
CBY3	CBY3
CANX	CANX
MAML1	MAML1
LTC4S.2	LTC4S
MGAT4B	MGAT4B
SQSTM1	SQSTM1
C5ORF45	C5ORF45
TBC1D9B	TBC1D9B
FLT4	FLT4
Q30D05_CHICK	NPY7R
IGDCC3	IGDCC3
PARP16	PARP16
CILP	CILP
MTFMT	MTFMT
RASL12	RASL12
KBTBD13	KBTBD13
UBAP1L	UBAP1L
PDCD7	PDCD7
CLPX	CLPX
SPG21	SPG21
ANKDD1A	ANKDD1A
SV2B	SV2B
TNFAIP2	TNFAIP2
EIF5	EIF5
MARK3	MARK3
KCRB_CHICK	CKB
TRMT61A	TRMT61A
BAG5	BAG5
XRCC3	XRCC3
ZFYVE21	ZFYVE21
PPP1R13B	PPP1R13B
TDRD9-AS1	RD3L
TDRD9	TDRD9
LHX5	LHX5
RBM19	RBM19
TBX5_CHICK	TBX5
TBX3	TBX3
DHX35	DHX35
FAM83D	FAM83D
PPP1R16B	PPP1R16B
ACTR5	ACTR5
ARHGAP40	ARHGAP40
SLC32A1	SLC32A1
PTPRT	PTPRT
MGAM.1	SI
C8ORF83	TRIQK
FAM92A1	FAM92A1
RBM12B	RBM12B
TMEM67	TMEM67
PDP1	PDP1
CDH17	CDH17
GEM	GEM
RAD54B	RAD54B
RNF151	RNF151
KIAA1429	KIAA1429
ESRP1	ESRP1
DPY19L4	DPY19L4
INTS8	INTS8
CCNE2	CCNE2
TP53INP1	TP53INP1
C8ORF38	NDUFAF6
PLEKHF2	PLEKHF2
C8ORF37	C8ORF37
GDF6	GDF6
UQCRB	UQCRB
MTERFD1	MTERFD1
PTDSS1	PTDSS1
SDC2	SDC2
PGCP.1	CPQ
MTDH	MTDH
LAPTM4B	LAPTM4B
MATN2	MATN2
RL30_CHICK	RPL30
C8ORF47	C8ORF47
HRSP12	HRSP12
POP1	POP1
NIPAL2	NIPAL2
KCNS2	KCNS2
STK3	STK3
VPS13B	VPS13B
COX6C	COX6C
RGS22	RGS22
FBXO43	FBXO43
POLR2K	POLR2K
SPAG1	SPAG1
RNF19A	RNF19A
ANKRD46	ANKRD46
SNX31	SNX31
PABPC1	PABPC1
YWHAZ	YWHAZ
ODZ4	TENM4
RASAL2	RASAL2
ARHGAP32	ARHGAP32
KCNJ5	KCNJ5
KCNJ1	KCNJ1
ETS1	ETS1
FRK	FRK
NT5DC1	NT5DC1
DSE	DSE
FAM26F	FAM26F
BET3L	BET3L
RWDD1	RWDD1
CACHD1	CACHD1
UBE2U	UBE2U
ROR1	ROR1
ELOVL6	ELOVL6
EGF	EGF
LRIT3	LRIT3
RRH	RRH
GAR1	GAR1
CFI	CFI
CASP6	CASP6
CCDC109B	CCDC109B
SEC24B	SEC24B
AGXT2L1	AGXT2L1
OSTC	OSTC
MFSD3	MFSD3
ADCK5	ADCK5
CPSF1	CPSF1
SLC39A4	SLC39A4
EFR3A	EFR3A
VPS28	VPS28
TONSL	TONSL
CYHR1	CYHR1
GEN1	GEN1
KIFC2	KIFC2
FOXH1	FOXH1
DENND5B	DENND5B
FAM60A	FAM60A
CAPRIN2	CAPRIN2
IPO8	IPO8
TMTC1	TMTC1
DDX11	DDX11
WASH6P	WASH1
IQSEC3	IQSEC3
E1BQT4_CHICK	SLC6A12
SLC6A13	SLC6A13
KDM5A	KDM5A
CCDC77	CCDC77
B4GALNT3	B4GALNT3
NINJ2	NINJ2
WNK1	WNK1
RAD52	RAD52
ERC1	ERC1
FBXL14	FBXL14
WNT5B	WNT5B
CACNA2D4	CACNA2D4
LRTM2	LRTM2
DCP1B	DCP1B
CACNA1C	CACNA1C
IL17RA	IL17RA
CECR1	CECR1
CECR2	CECR2
SLC25A18	SLC25A18
Q5ZKJ9_CHICK	ATP6V1E2
BCL2L13	BCL2L13
BID	BID
XXBAC-B461K10.4.1	MICAL3
PTPRZ1	PTPRZ1
AASS	AASS
CADPS2	RNF148
SLC13A1	SLC13A1
IQUB	IQUB
NDUFA5	NDUFA5
ASB15	ASB15
LMOD2	LMOD2
HYAL6	HYAL6
HYAL4	HYAL4
GPR37	GPR37
FA53A_CHICK	FAM53A
Q6B7Z7_CHICK	SLBP
TMEM129	TMEM129
TACC3	TACC3
FGFR3_CHICK	FGFR3
LETM1	LETM1
WHSC1	WHSC1
WHSC2	WHSC2
NAT8L	NAT8L
Q5ZLB9_CHICK	MXD4
LPHN2	LPHN2
TTC18	TTC18
ZMYND17	MSS51
SEPT12	SEPT12
ROGDI	ROGDI
GLYR1	GLYR1
PPL	PPL
SEC14L5	SEC14L5
WDR90	WDR90
NAGPA	NAGPA
CARHSP1	CARHSP1
PMM2	PMM2
ABAT	ABAT
METTL22	METTL22
TMEM114	TMEM114
IGFBP7	IGFBP7
POLR2B	POLR2B
NOA1	NOA1
REST	REST
TMEM66	TMEM66
LEPROTL1	LEPROTL1
SRP72	SRP72
ARL9	ARL9
THEGL	THEGL
SLC4A4	SLC4A4
GC	GC
NPFFR2	NPFFR2
ADAMTS3	ADAMTS3
GUCA2B	GUCA2B
GUCA2A	GUCA2A
LACTBL1	LACTBL1
EPHB2	EPHB2
C1QC	COL9A1
EPHA8	EPHA8
UBE2E3	UBE2E3
CERKL	CERKL
SSFA2	SSFA2
PPP1R1C	PPP1R1C
A5I880_ANOCA	ST8SIA4
SLCO4C1	SLCO4C1
PAM	PAM
PPIP5K2	PPIP5K2
C5ORF30	C5ORF30
NUDT12	NUDT12
CACNA1H	CACNA1H
B9D1	B9D1
EPN2	EPN2
MAPK7	MAPK7
BCL7C	BCL7C
CTF1	CTF1
FBXL19	FBXL19
ORAI3	ORAI3
SETD1A	SETD1A
HSD3B7	HSD3B7
STX1B	STX1B
STX4	STX4
PRF1	PRF1
ZNF646	ZNF646
PRSS53	PRSS53
BCKDK	BCKDK
SULT1C2	SULT1C2
FUS	FUS
PRSS8	PRSS8
KAT8	KAT8
MEFV	DSPP
NLRP1	NLRP1
ITGAX	ITGAM
COX6A1	COX6A1
TGFB1I1	TGFB1I1
ARMC5	ARMC5
PDZD2	PDZD2
LMAN1	LMAN1
CPLX4	CPLX4
RAX	RAX
GRP	GRP
SEC11C	SEC11C
SI:CH211-233A1.8	OACYL
ZNF532	ZNF532
MALT1	MALT1
NEDD4L	NEDD4L
ARSA	ARSA
MAPK8IP2	MAPK8IP2
CHKB	CHKB
CPT1C	CPT1B
FAM71F1	FAM71F1
IMPDH1	IMPDH1
PRRT4	PRRT4
RBM28	RBM28
LEP	LEP
SND1	SND1
LRRC4	LRRC4
PAX6B	PAX4
FSCN3	FSCN3
GCC1	GCC1
FAM116B	DENND6B
PPP6R2	PPP6R2
SBF1	SBF1
ACRC	ACRC
TFRC	TFRC
HMX1	HMX1
ADRA2C	ADRA2C
RELN	RELN
SLC26A5	SLC26A5
DNAJC2	DNAJC2
PMPCB	PMPCB
NAPEPLD	NAPEPLD
ARMC10	ARMC10
FBXL13	FBXL13
LRRC17	LRRC17
FAM185A	FAM185A
FGL2	FGL2
CCDC146	CCDC146
PION	PION
PTPN12	PTPN12
RSBN1L	RSBN1L
TMEM60	TMEM60
PHTF2	PHTF2
MAGI2	MAGI2
GNAT3	GNAT3
CD36	CD36
SEMA3C	SEMA3C
HGF	HGF
CACNA2D1	CACNA2D1
EHD1	EHD1
CDC42BPG	CDC42BPG
SCYL1	SCYL1
PRRC1	PRRC1
FLRT1	FLRT1
MACROD1	MACROD2
OTUB1	OTUB1
NAA40	NAA40
RCOR2	RCOR2
MARK2	MARK2
C11ORF84	C11ORF84
RTN3	RTN3
ATL3	ATL3
OR6N1	OR6N1
CADM3	CADM3
DARC	DARC
ODF3L1	ODF3L1
SNX33	SNX33
SNUPN	SNUPN
PTPN9	PTPN9
SIN3A	SIN3A
RABP1_CHICK	CRABP1
DNAJA4	DNAJA4
ACSBG1	ACSBG1
IDH3A	IDH3A
CIB2	CIB2
F1P4Y5_CHICK	CHRNA7
THSD4	THSD4
LRRC49	LRRC49
LARP6	LARP6
ADAL	ADAL
TM2D3	TM2D3
TARSL2	TARSL2
TJP1	TJP1
FAM189A1	FAM189A1
APBA2	APBA2
MCEE	MCEE
MPHOSPH10	MPHOSPH10
FAN1	FAN1
MTMR10	MTMR10
TRPM1	TRPM1
OTUD7A	OTUD7A
GCNT3	GCNT3
BNIP2	BNIP2
ANXA2_CHICK	ANXA2
NARG2	NARG2
RORA	RORA
VPS13C	VPS13C
TLN2	TLN2
TPM1	TPM1
LACTB	LACTB
RAB8B	RAB8B
CA12	CA12
F1NQJ6_CHICK	USP3
FBXL22	FBXL22
HERC1	HERC1
DAPK2	DAPK2
TBC1D2B	TBC1D2B
FAM81A	FAM81A
CCNB2_CHICK	CCNB2
RNF111	RNF111
SLTM	SLTM
FAM63B	FAM63B
ADAM10	ADAM10
LIPC	LIPC
AQP9	AQP9
ALDH1A2	ALDH1A2
GCOM1	GCOM1
CGNL1	CGNL1
TCF12	TCF12
MNS1	MNS1
TEX9	TEX9
RFX7	RFX7
NEDD4	NEDD4
PRTG_CHICK	PRTG
PYGO1	PYGO1
DYX1C1	DYX1C1
CCPG1_CHICK	CCPG1
PIGB	PIGB
RAB27A	RAB27A
RSL24D1	RSL24D1
UNC13C	UNC13C
WDR72	WDR72
ONECUT1	ONECUT1
TTYH2	TTYH2
DNAI2	DNAI2
KIF19	KIF19
BTBD17	BTBD17
GPR142	GPR142
GPRC5C	GPRC5C
CCDC137	CCDC137
PDE6G	PDE6G
TSPAN10	TSPAN10
NPLOC4	NPLOC4
C17ORF70	C17ORF70
BAHCC1	BAHCC1
SLC38A10	SLC38A10
C17ORF89	C17ORF89
C17ORF56	ENTHD2
AZI1	AZI1
AATK	AATK
BAIAP2	BAIAP2
CHMP6	CHMP6
RPTOR	RPTOR
NPTX1	NPTX1
ENDOV	ENDOV
RNF213	RNF213
SLC26A11	SLC26A11
SGSH	SGSH
GAA	GAA
CCDC40	CCDC40
RMI2_CHICK	RMI2
TBC1D16	TBC1D16
CBX4	CBX4
CBX8	CBX8
CBX2	CBX2
ENPP7	ENPP7
RBFOX3	RBFOX3
ENGASE	ENGASE
CANT1	CANT1
LGALS3BP	LGALS3BP
TIMP2	TIMP2
USP36	USP36
DNAH17	DNAH17
PGS1	PGS1
SOCS3	SOCS3
THA1P	THA1
BIRC5	BIRC5
AFMID	AFMID
TK1	TK1
SYNGR2	SYNGR2
TMC8	TMC8
TMC6	TMC6
ARL16	ARL16
HGS	HGS
MRPL12	MRPL12
GCGR	GCGR
FAM195B	FAM195B
P4HB	P4HB
ARHGDIA	ARHGDIA
ALYREF	ALYREF
ANAPC11	ANAPC11
NPB	NPB
PCYT2	PCYT2
MAFG	MAFG
PYCR1	PYCR1
MYADML2	MYADML2
