mouse	eggnog
Sapcd1	SAPCD1
Atg9a	ATG9A
Tlx3	TLX3
Ppp1r12b	PPP1R12B
Usp28	USP28
Osgin2	OSGIN2
Trafd1	TRAFD1
Chsy1	CHSY1
Smyd4	SMYD4
Pcsk7	PCSK7
Ramp3	RAMP3
Myf6	MYF6
Ccdc30	CCDC30
Phb	PHB
Fbxo38	FBXO38
Ctdspl2	CTDSPL2
Serinc5	SERINC5
Ephx1	EPHX1
Trappc11	TRAPPC11
Sox5	SOX5
Card19	C9ORF89
Jmjd6	JMJD6
Hnrnpu	HNRNPU
Lrfn2	LRFN2
Mycbpap	MYCBPAP
Gngt2	GNGT2
Coil	COIL
Smarcal1	SMARCAL1
Rorb	RORB
Tmub2	TMUB2
C8a	C8A
Pcdha12	PCDHA13
Zdhhc15	ZDHHC15
Fermt1	FERMT1
Wtip	WTIP
Trim69	TRIM69
Gpr19	GPR19
Ptchd4	PTCHD4
Dcdc2a	DCDC2
Cxcl10	CXCL10
Dock3	DOCK3
Pof1b	POF1B
Shd	SHD
Cox6a1	COX6A1
Adk	ADK
Mlc1	MLC1
Dexi	DEXI
Eif4g1	EIF4G1
Fam124a	FAM124A
Atp6v0b	ATP6V0B
Kdm2a	KDM2A
Slc6a20a	SLC6A20
Fam175a	FAM175A
Plch1	PLCH1
Syne2	SYNE2
Chmp7	CHMP7
1700123O20Rik	C14ORF119
Kcnh2	KCNH2
Cbr3	CBR3
Ssh3	SSH3
Mettl17	METTL17
Sbspon	SBSPON
Rab42	RAB42
S100a13	S100A13
Pabpc5	PABPC5
Ccdc83	CCDC83
Glyctk	GLYCTK
Atf5	ATF5
Htr2a	HTR2A
Fsd2	FSD2
Plpp6	PPAPDC2
Nudt19	NUDT19
Dnali1	DNALI1
Sptan1	SPTAN1
Cpsf2	CPSF2
Map4k5	MAP4K5
Wrap53	WRAP53
Trmt12	TRMT12
Tbc1d25	TBC1D25
Ppp1r13l	PPP1R13L
Chad	CHAD
Dctpp1	DCTPP1
Mcee	MCEE
Dgki	DGKI
Fam151a	FAM151A
Sun2	SUN2
Dhx38	DHX38
Smc4	SMC4
Fchsd1	FCHSD1
Tbce	TBCE
Dock9	DOCK9
Cacng5	CACNG5
Inhba	INHBA
Ddx19a	DDX19A
Dusp5	DUSP5
Cmc1	CMC1
Slc16a9	SLC16A9
Igsf23	IGSF23
Vars2	VARS2
Hps4	HPS4
Colgalt1	GLT25D1
Srpx	SRPX
Abca5	ABCA5
C1galt1	C1GALT1
Agbl2	AGBL2
March3	MARCH3
Cdc16	CDC16
Foxn4	FOXN4
Iqch	IQCH
Cyp24a1	CYP24A1
Alx4	ALX4
S100b	S100B
Vps37b	VPS37B
Sspo	SSPO
Tram2	TRAM2
Coq5	COQ5
Taf6	TAF6
Bcor	BCOR
Tubg1	TUBG1
Lrrc20	LRRC20
Rccd1	RCCD1
Tiparp	TIPARP
Wfs1	WFS1
Rbfox2	RBFOX2
Inppl1	INPPL1
Gpr33	GPR33
Shank3	SHANK3
Bzrap1	BZRAP1
Myo15b	MYO15B
Mrpl47	MRPL47
Gdf5	GDF5
Nup133	NUP133
C3ar1	C3AR1
Iars	IARS
Prorsd1	PRORSD1
Nup88	NUP88
Spr	SPR
Dnajc28	DNAJC28
Ptpn13	PTPN13
Elmsan1	ELMSAN1
Papd4	PAPD4
Gramd1b	GRAMD1B
Stac3	STAC3
Ror1	ROR1
Acd	ACD
Capn5	CAPN5
Metap1d	METAP1D
Zdhhc5	ZDHHC5
Susd1	SUSD1
Utp15	UTP15
Cnst	CNST
Plekha6	PLEKHA6
Nxt2	NXT2
Mat2b	MAT2B
Setmar	SETMAR
Lyplal1	LYPLAL1
Rflna	FAM101A
Ick	ICK
Lmtk2	LMTK2
Cd79b	CD79B
Gpbp1	GPBP1
Anapc10	ANAPC10
Hif3a	HIF3A
Btn2a2	BTN2A2
Tbc1d17	TBC1D17
Mnd1	MND1
Nutm1	C15ORF55
Rassf4	RASSF4
Vgf	VGF
Metap2	METAP2
Fcmr	FAIM3
Stab2	STAB2
Sptlc3	SPTLC3
Dido1	DIDO1
Orc3	ORC3
Cc2d2a	CC2D2A
Usp45	USP45
Kcnk15	KCNK15
Fbln2	FBLN2
Wdr43	WDR43
Ythdc2	YTHDC2
Gm15800	HECTD4
Mrps35	MRPS35
Vat1	VAT1
Ltb4r2	LTB4R2
Actrt3	ACTRT3
Psen1	PSEN1
Nrap	NRAP
Malt1	MALT1
Cirh1a	CIRH1A
Kif4	KIF4A
1110059E24Rik	C9ORF85
Josd2	JOSD2
Cops4	COPS4
Adgrl1	LPHN1
Pebp1	PEBP1
Tbc1d13	TBC1D13
Mustn1	MUSTN1
Ralgapb	RALGAPB
Krt25	KRT25
9530068E07Rik	C5ORF15
Ppp1r21	PPP1R21
Rbm34	RBM34
Rasl10a	RASL10A
9130011E15Rik	C10ORF76
Surf6	SURF6
Fxyd1	FXYD1
Rpl10a	RPL10A
Rbm25	RBM25
Mrpl15	MRPL15
Hexdc	HEXDC
Acmsd	ACMSD
Tcf20	TCF20
Coro7	CORO7
Gbx2	GBX2
Tbc1d16	TBC1D16
Clcnka	CLCNKA
Smpx	SMPX
Sox15	SOX15
Jade3	PHF16
Btbd10	BTBD10
Smyd5	SMYD5
Cpe	CPE
Lin37	LIN37
Cpa4	CPA4
Fbxl16	FBXL16
Agpat1	AGPAT1
Grin3b	GRIN3B
Ttc9	TTC9
Aagab	AAGAB
Cdsn	CDSN
Cog6	COG6
Cer1	CER1
Mettl18	METTL18
Glt6d1	GLT6D1
Tigar	C12ORF5
Hoxa7	HOXA7
F13a1	F13A1
Slc38a10	SLC38A10
1700028P14Rik	C9ORF135
Lrrc56	LRRC56
Fgd3	FGD3
Znrd1as	ZNRD1AS
Tbcc	TBCC
Serpinf2	SERPINF2
Npat	NPAT
Dnajc16	DNAJC16
Rims2	RIMS2
Spaca5	SPACA5
Scgb1c1	SCGB1C1
Zcwpw1	ZCWPW1
Ptger4	PTGER4
Olfr6	OLFR6
Bsdc1	BSDC1
Alpk2	ALPK2
Atp13a4	ATP13A4
Naif1	NAIF1
Mbl1	MBL1
Kdf1	C1ORF172
Atp6v1g1	ATP6V1G1
Akap14	AKAP14
Arel1	KIAA0317
Ddx52	DDX52
Prelp	PRELP
Hspb11	HSPB11
Rubcn	KIAA0226
Mrpl55	MRPL55
Zmynd15	ZMYND15
Hspa13	HSPA13
Ankrd9	ANKRD9
Mmaa	MMAA
Cdh26	CDH26
Akr1d1	AKR1D1
Tmem205	TMEM205
Eif4h	EIF4H
Rarg	RARG
Cdrt4	CDRT4
Kcne2	KCNE2
Tsga10	TSGA10
Srd5a2	SRD5A2
Kirrel3	KIRREL3
Parp2	PARP2
Misp	C19ORF21
Ambra1	AMBRA1
Igsf3	IGSF3
Mvb12b	FAM125B
Fam160b1	FAM160B1
Hsf4	HSF4
Garem1	FAM59A
Gucy1a3	GUCY1A3
Vwa8	VWA8
Podn	PODN
Spsb1	SPSB1
Sirt6	SIRT6
Ccdc88a	CCDC88A
Gpatch2	GPATCH2
Thap11	THAP11
Golim4	GOLIM4
Ndufv3	NDUFV3
Greb1l	GREB1L
Ctnna1	CTNNA1
Zpld1	ZPLD1
Asph	ASPH
Mslnl	MSLNL
Sirpa	SIRPA
Fnip1	FNIP1
Emc1	EMC1
Ep400	EP400
Arx	ARX
Immp1l	IMMP1L
Pif1	PIF1
Ppp1r3a	PPP1R3A
Nek9	NEK9
Trim37	TRIM37
Rhbdd2	RHBDD2
Trpc5	TRPC5
Tulp1	TULP1
Mtmr3	MTMR3
Ins1	INS1
Slc2a6	SLC2A6
Gbp7	GBP7
Sufu	SUFU
Sltm	SLTM
Alkbh5	ALKBH5
Adam22	ADAM22
Acbd6	ACBD6
Cul7	CUL7
Pex5	PEX5
Edc3	EDC3
Armcx2	ARMCX2
Ska1	SKA1
Ctf1	CTF1
Fam117a	FAM117A
Rwdd2b	RWDD2B
Gna15	GNA15
Gfer	GFER
Prickle1	PRICKLE1
Kcnh8	KCNH8
Agr3	AGR3
Cftr	CFTR
Gipc3	GIPC3
Tspan8	TSPAN8
Tulp4	TULP4
Lpcat2	LPCAT2
Rreb1	RREB1
Ccdc174	CCDC174
Vwa9	VWA9
Spry1	SPRY1
Pkd1	PKD1
Ciart	C1ORF51
Nubp2	NUBP2
Rnf13	RNF13
Ift172	IFT172
Spire1	SPIRE1
Nipsnap1	NIPSNAP1
Klk5	KLK5
Upb1	UPB1
Myo16	MYO16
Xkr7	XKR7
Gpi1	GPI
Adgrf1	GPR110
Bbs10	BBS10
Ncam2	NCAM2
Nbeal1	NBEAL1
Znfx1	ZNFX1
Hnrnpl	HNRNPL
Ggta1	GGTA1
Dusp8	DUSP8
Zmat4	ZMAT4
Arpin	C15ORF38
Cacna2d1	CACNA2D1
Plekhh1	PLEKHH1
Lrrc14	LRRC14
Slc22a20	SLC22A20
Zswim5	ZSWIM5
Ppp1r15a	PPP1R15A
Nacad	NACAD
Ccdc113	CCDC113
BC049715	C12ORF60
Taar1	TAAR1
Rbbp6	RBBP6
Gja8	GJA8
Spn	SPN
Ccdc74a	CCDC74A
Prr15	PRR15
Olfr139	OLFR139
Bsnd	BSND
Itpr2	ITPR2
Gpr150	GPR150
Npdc1	NPDC1
Pycrl	PYCRL
4930451I11Rik	C16ORF92
Gpat2	GPAT2
Gtf2i	GTF2I
Grem2	GREM2
Cpne4	CPNE4
Slc22a17	SLC22A17
Ucn3	UCN3
Ch25h	CH25H
Lrrc25	LRRC25
Vwc2	VWC2
4930563D23Rik	ENSG00000222018
Ccdc169	CCDC169
Rexo1	REXO1
Gpr146	GPR146
Gpr158	GPR158
Cxcr1	CXCR1
Hsfy2	HSFY2
C77370	KIAA2022
Lsm6	LSM6
Nek6	NEK6
Cldn23	CLDN23
Masp2	MASP2
Gltpd2	GLTPD2
Olfr1093	OR5T3
Rab9b	RAB9B
Tcaim	TCAIM
Dedd2	DEDD2
Akt1s1	AKT1S1
Mars2	MARS2
Tmc5	TMC5
D930015E06Rik	KIAA0922
Iba57	IBA57
Tmem212	TMEM212
Cir1	CIR1
Gm6583	GM6583
Asphd1	ASPHD1
Ino80e	INO80E
Fzd4	FZD4
Ccdc54	CCDC54
Commd3	COMMD3
Olfr1451	OR5B2
Pcdh19	PCDH19
B3gntl1	B3GNTL1
Nkx2-6	NKX2-6
Trim2	TRIM2
Ccr2	CCR2
Ccdc60	CCDC60
Nphp4	NPHP4
Olfr958	OR10D3
Gm6377	GM6377
Muc6	MUC6
Rsrc2	RSRC2
Pou6f1	POU6F1
Hrh3	HRH3
Tbc1d8	TBC1D8
Rbfox1	RBFOX1
Haus3	HAUS3
Chst9	CHST9
Zbtb33	ZBTB33
Mettl24	METTL24
Ccny	CCNY
Rilpl1	RILPL1
Dclk1	DCLK1
Cnrip1	CNRIP1
Lrfn4	LRFN4
E2f2	E2F2
Fam83a	FAM83A
Acy3	ACY3
Cyb5r2	CYB5R2
Nrxn3	NRXN3
Oprd1	OPRD1
Tesk1	TESK1
Ddhd1	DDHD1
Npb	NPB
Rnf152	RNF152
Ccdc28a	CCDC28A
Ackr2	CCBP2
Pnpla1	PNPLA1
Aqp9	AQP9
2310057M21Rik	C10ORF88
Olfr1395	OLFR1395
Tnfsf15	TNFSF15
Fcrl5	FCRL5
Trappc1	TRAPPC1
Relb	RELB
Uspl1	USPL1
Prmt9	PRMT10
Kbtbd3	KBTBD3
Olfr745	OR11H6
Ccni	CCNI
Ubqln1	UBQLN1
Fam19a2	FAM19A2
Mtss1l	MTSS1L
Klhl23	KLHL23
Fam221a	FAM221A
Xxylt1	XXYLT1
Nlrp10	NLRP10
Nags	NAGS
Triml1	TRIML1
Vgll2	VGLL2
Tas2r119	TAS2R1
Orai3	ORAI3
Eif5a2	EIF5A2
Ptges3	PTGES3
Cradd	CRADD
Apof	APOF
Cnpy3	CNPY3
Pilra	PILRA
Duox2	DUOX2
Proca1	PROCA1
Slc25a47	SLC25A47
Ckap4	CKAP4
Slc25a53	SLC25A53
Runx3	RUNX3
Pcdhb12	PCDHB12
Selenov	SELV
Sfn	SFN
Actrt2	ACTRT2
Rnf149	RNF149
Uckl1	UCKL1
Paip2b	PAIP2B
Cmya5	CMYA5
S1pr4	S1PR4
Mettl21a	METTL21A
Myct1	MYCT1
Cxcr5	CXCR5
Foxe3	FOXE3
Irgm1	IRGM
Tmem198b	TMEM198B
Ush2a	USH2A
4933430I17Rik	C9ORF43
C1ql1	COL9A2
Homer1	HOMER1
Tmem201	TMEM201
Neurog1	NEUROG1
Lin28a	LIN28A
Ano7	ANO7
Sgsm2	SGSM2
Epx	EPX
Spata3	SPATA3
Bhlha9	BHLHA9
Pdp1	PDP1
Fam167b	FAM167B
Wdr89	WDR89
Adamts19	ADAMTS19
Nod2	NOD2
Ccer1	CCER1
Ablim2	ABLIM2
Olfr513	OR5AK2
Snai1	SNAI1
Ccdc63	CCDC63
Kndc1	KNDC1
Ercc6l	ERCC6L
Cep112	CEP112
Utp23	UTP23
Smim4	SMIM4
4930539E08Rik	C6ORF222
Pigv	PIGV
Fam58b	FAM58A
Zmym1	ZMYM1
Kcna3	KCNA3
Foxo3	FOXO3
Patz1	PATZ1
Kctd19	KCTD19
Arf3	ARF3
2310061I04Rik	C6ORF136
Olfr705	OR2AG1
Prdx6	PRDX6
Efnb1	EFNB1
Tmem18	TMEM18
Svop	SVOP
Peg3	PEG3
Polr2a	POLR2A
Mapk8ip1	MAPK8IP1
Supt3	SUPT3H
Phkb	PHKB
Epha10	EPHA10
Igbp1b	IGBP1B
Zfp36l2	ZFP36L2
Cyp20a1	CYP20A1
Rlf	RLF
Sned1	SNED1
Olfr1018	OLFR1018
Wfdc12	WFDC12
Hnrnph2	HNRNPH2
Ugt8a	UGT8
Zfp367	ZNF367
Copg1	COPG1
Tmem37	TMEM37
Fam228b	FAM228B
Olfr419	OR10Z1
Slfnl1	SLFNL1
S1pr1	S1PR1
Htr1b	HTR1B
Olfr649	OLFR649
Mettl5	METTL5
Nkx2-3	NKX2-3
Exosc4	EXOSC4
Fam60a	FAM60A
Pyurf	PYURF
Akap4	AKAP4
Zswim3	ZSWIM3
Crebzf	CREBZF
Slc35e4	SLC35E4
Synm	SYNM
Rpp38	RPP38
Apba3	APBA3
Ccdc57	CCDC57
Slc26a11	SLC26A11
Hoxc12	HOXC12
A830080D01Rik	CXORF23
D1Ertd622e	C5ORF30
Tssk2	TSSK2
Bag5	BAG5
Hs3st1	HS3ST1
Sarm1	SARM1
Zfp473	ZNF473
Adgrg3	GPR97
Eml6	EML6
Sstr5	SSTR5
Picalm	PICALM
Hes5	HES5
Oxtr	OXTR
4930550L24Rik	MAGEA11
Neu4	NEU4
Meox1	MEOX1
Fndc7	FNDC7
Iqub	IQUB
Prss48	PRSS48
4933402P03Rik	C17ORF74
Fam180a	FAM180A
E130012A19Rik	C17ORF96
Hk3	HK3
Styxl1	STYXL1
Atp5k	ATP5I
Ywhag	YWHAG
Olfr283	OLFR283
Vcpip1	VCPIP1
Serinc4	SERINC4
Echdc2	ECHDC2
Kcnk7	KCNK7
Pip5kl1	PIP5KL1
Clptm1	CLPTM1
Ndnf	NDNF
Kctd21	KCTD21
Olfr429	OR6N1
Axin2	AXIN2
Zfpm2	ZFPM2
P2ry12	P2RY12
Flad1	FLAD1
Ltb4r1	LTB4R
Fam13c	FAM13C
Neurod4	NEUROD4
Akap8l	AKAP8L
Rln3	RLN3
Palm3	PALM3
Fancb	FANCB
Sp2	SP2
Morn2	MORN2
Tmem17	TMEM17
Gpr1	GPR1
Ogfod1	OGFOD1
H2afx	H2AFX
Pthlh	PTHLH
Tmem136	TMEM136
Agmo	AGMO
1700029I15Rik	C11ORF94
Plekha4	PLEKHA4
Aff4	AFF4
Neurl1b	NEURL1B
Olfr225	OLFR225
Hpcal4	HPCAL4
Setx	SETX
Pkd1l3	PKD1L3
Alkbh6	ALKBH6
Vsig4	VSIG4
Olfr137	OR2J2
Stpg2	STPG2
Vamp4	VAMP4
Lrfn5	LRFN5
Fscb	FSCB
Sprr4	SPRR4
Slc26a1	SLC26A1
Mcat	MCAT
Synpo2	SYNPO2
Fam26f	FAM26F
Lyrm1	LYRM1
Rai2	RAI2
Mapk3	MAPK3
Mmgt1	MMGT1
Ephb4	EPHB4
Scn3b	SCN3B
Dact2	DACT2
Dnajc11	DNAJC11
Mblac2	MBLAC2
Atp13a3	ATP13A3
Psmd8	PSMD8
Zc2hc1c	ZC2HC1C
Catsper4	CATSPER4
Ift20	IFT20
Sp100	SP100
Cystm1	CYSTM1
Asrgl1	ASRGL1
Nrip1	NRIP1
Plxnb2	PLXNB2
Adig	ADIG
Clrn1	CLRN1
Cfap69	C7ORF63
Olfr729	OR4K5
Ttc34	TTC34
Cited1	CITED1
Ggnbp1	GGNBP1
Gprin3	GPRIN3
Rictor	RICTOR
Dnmt3b	DNMT3B
Pptc7	PPTC7
Jrk	JRK
Ino80	INO80
Kcnk13	KCNK13
A430105I19Rik	C15ORF52
Atg9b	ATG9B
Pmel	PMEL
BC027072	C2ORF71
Tmc8	TMC8
Cldn8	CLDN8
Gp5	GP5
Gas2l2	GAS2L2
Bst2	BST2
Hectd3	HECTD3
Bzw1	BZW1
Rasd1	RASD1
Fam183b	FAM183A
Exoc4	EXOC4
Tmem123	TMEM123
Polr2k	POLR2K
Abra	ABRA
Nkx3-2	NKX3-2
Tmem241	TMEM241
Krtap24-1	KRTAP24-1
Prss38	PRSS38
Ccbe1	CCBE1
Tenm2	TENM2
Ust	UST
Flnb	FLNB
Amica1	AMICA1
Akap17b	AKAP17B
Lrrc8e	LRRC8E
Ankrd16	ANKRD16
Cdh20	CDH20
Olfr728	OR4K1
Daam2	DAAM2
Actbl2	ACTBL2
Pou3f3	POU3F3
Catsperb	CATSPERB
Cdr2l	CDR2L
Akt2	AKT2
Ttc7b	TTC7B
Mis18bp1	MIS18BP1
Ssc5d	SSC5D
Zbtb21	ZNF295
Tmem215	TMEM215
Ly6g5b	LY6G5B
Car7	CA7
Csrnp2	CSRNP2
Lancl2	LANCL2
Utp14b	UTP14B
Prr3	PRR3
Terf2ip	TERF2IP
Slc38a9	SLC38A9
Bbs12	BBS12
Gpr37	GPR37
Zfp770	ZNF770
Foxc1	FOXC1
Frmd6	FRMD6
Fam124b	FAM124B
Bcl2l15	BCL2L15
Gk2	GK2
Olfr790	OR6C75
Tctex1d4	TCTEX1D4
Kcne1	KCNE1
Amfr	AMFR
Vamp7	VAMP7
Ccnb3	CCNB3
Cby3	CBY3
Elmod2	ELMOD2
Ccdc121	CCDC121
Chrnb3	CHRNB3
Ntf3	NTF3
Bptf	BPTF
Plppr4	LPPR4
Klf17	KLF17
Tigd4	TIGD4
Ssu2	SSUH2
Pcdh11x	PCDH11X
Ascc1	ASCC1
Zfp423	ZNF423
Uqcrh	UQCRH
Gpr183	GPR183
Olfr418	OR10J1
Olfr414	OR6P1
Stxbp1	STXBP1
Cxcr3	CXCR3
Thnsl1	THNSL1
Bend7	BEND7
Wdr36	WDR36
Upk1b	UPK1B
Olfr187	OLFR187
Tmem132e	TMEM132E
Adam33	ADAM33
Hoxb8	HOXB8
Frrs1l	FRRS1L
Hsf3	HSF3
Dnajb2	DNAJB2
Ankrd46	ANKRD46
Pik3r6	PIK3R6
Pdcd2	PDCD2
Zadh2	ZADH2
Ccdc66	CCDC66
Nr1h5	NR1H5
Dlx5	DLX5
Rnf216	RNF216
Olfr610	OLFR610
Lpar1	LPAR1
Lrrk2	LRRK2
Tprg	TPRG1
Defb29	DEFB116
Tbx20	TBX20
Gsto2	GSTO2
Ly6k	LY6K
Ffar2	FFAR2
Col19a1	COL19A1
Wdfy3	WDFY3
Pard6b	PARD6B
Stxbp6	STXBP6
Zfp646	ZNF646
Cirbp	CIRBP
Tmem67	TMEM67
Dlec1	DLEC1
Ar	AR
Pop1	POP1
Adam5	ADAM5
Fbxl13	FBXL13
Zbtb39	ZBTB39
Olfr214	OLFR214
Gpr153	GPR153
Dcaf5	DCAF5
Itsn2	ITSN2
1110012L19Rik	CXORF40A
Eps8	EPS8
Pik3ap1	PIK3AP1
Nkx1-2	NKX1-2
Frat2	FRAT2
Klri2	KLRI2
Depdc5	DEPDC5
Antxrl	ANTXRL
Fam78a	FAM78A
Pigm	PIGM
Rnf7	RNF7
Dlgap1	DLGAP1
Pgp	PGP
Mblac1	MBLAC1
Creg2	CREG2
Fasn	FASN
Fpr1	FPR1
Epm2aip1	EPM2AIP1
Eny2	ENY2
2410015M20Rik	C19ORF70
Pdia6	PDIA6
Bend6	BEND6
Tvp23a	FAM18A
Sugt1	SUGT1
Ccdc141	CCDC141
Zfp654	ZNF654
Kmt5a	SETD8
Lenep	LENEP
Cdc42se1	CDC42SE1
Cyp8b1	CYP8B1
Olfr820	OLFR820
Klhl6	KLHL6
Fut4	FUT4
Mrps7	MRPS7
Ormdl3	ORMDL3
Tnp2	TNP2
Spata21	SPATA21
Lrrc75b	FAM211B
Mtnr1b	MTNR1B
Gm11492	C17ORF47
Nr1h4	NR1H4
Nlgn2	NLGN2
Olfr350	OR1J4
Tfpt	TFPT
Amz1	AMZ1
Odf3b	ODF3B
Pofut1	POFUT1
Lrrc4b	LRRC4B
Baiap2l1	BAIAP2L1
Uqcrq	UQCRQ
Barhl1	BARHL1
Scml4	SCML4
Pars2	PARS2
Sdf4	SDF4
Synpo2l	SYNPO2L
Tcf21	TCF21
Slc30a10	SLC30A10
Rps6kb1	RPS6KB1
Ccdc84	CCDC84
Slc16a13	SLC16A13
Ddi1	DDI1
Neurl4	NEURL4
Wfikkn2	WFIKKN2
Fam110a	FAM110A
Lipa	LIPA
Onecut3	ONECUT3
Foxl2	FOXL2
BC024139	BC024139
Gjb4	GJB4
Olfr1030	OLFR1030
Slc25a46	SLC25A46
Pcdhb19	PCDHB19
Lysmd4	LYSMD4
3110062M04Rik	C7ORF49
Pxt1	PXT1
Cltb	CLTB
Trim3	TRIM3
Rasl11b	RASL11B
Il1f9	IL36G
S1pr2	S1PR2
Zfp319	ZNF319
Flrt3	FLRT3
Eif4e2	EIF4E2
Best2	BEST2
Hoxb3	HOXB3
Vat1l	VAT1L
Fam186a	FAM186A
Grpel2	GRPEL2
Ism2	ISM2
Olfr1497	OR9Q2
Cuedc2	CUEDC2
Fubp3	FUBP3
Hic1	HIC1
Cxcr4	CXCR4
Gas2	GAS2
B3gnt2	B3GNT2
Gstz1	GSTZ1
Meaf6	MEAF6
Ccdc64	CCDC64
Fzd9	FZD9
Plcxd3	PLCXD3
Mtus1	MTUS1
Panx1	PANX1
Abhd12	ABHD12
Olfr524	OLFR524
Zfp526	ZNF526
Kcnk12	KCNK12
Tk2	TK2
Fam171a1	FAM171A1
Aplnr	APLNR
Foxi2	FOXI2
Zfp282	ZNF211
Card14	CARD14
Sptssa	SPTSSA
Pygo2	PYGO2
Hexim2	HEXIM2
Sh2d7	SH2D7
Unc80	UNC80
Tas2r118	TAS2R16
Adra1a	ADRA1A
Coa4	COA4
Marveld1	MARVELD1
Sprr1a	SPRR1A
Rtn4	RTN4
Trpv3	TRPV3
Exoc3l	EXOC3L1
Gapt	GAPT
4930590J08Rik	C3ORF20
Tmem202	TMEM202
Ankrd13d	ANKRD13D
Pomk	SGK196
Ccdc64b	CCDC64B
Gnat2	GNAT2
Cd200r1	CD200R1
Tmem229b	TMEM229B
Gpr85	GPR85
Dnaja3	DNAJA3
Atat1	ATAT1
Tmem186	TMEM186
Elfn1	ELFN1
Nipa1	NIPA1
Fam120a	FAM120A
Itga2	ITGA2
Erbb2	ERBB2
Zmpste24	ZMPSTE24
Sprn	SPRN
Ston2	STON2
Lipk	LIPK
Olfr1342	OLFR1342
Krtap3-1	KRTAP3-1
Basp1	BASP1
Usp42	USP42
Lcn2	LCN2
Aasdhppt	AASDHPPT
Drc7	CCDC135
Inhbe	INHBE
Cd300lf	CD300LF
Lpar4	LPAR4
Rprml	RPRML
Zfp27	ZNF585A
Fbxo44	FBXO44
Gcc2	GCC2
Sept6	SEPT6
Tifa	TIFA
Pfn3	PFN3
Neurog3	NEUROG3
Ankar	ANKAR
Galr2	GALR2
Gphn	GPHN
Gps2	GPS2
Olfr368	OR5C1
Spz1	SPZ1
Heatr1	HEATR1
BC068281	C2ORF44
Hcar2	NIACR1
Hepacam	HEPACAM
Olfr655	OLFR655
Treml4	TREML4
Fbxo43	FBXO43
Ikbke	IKBKE
Snx21	SNX21
Eva1b	EVA1B
Rapsn	RAPSN
Pwwp2a	PWWP2A
Mtor	MTOR
Pnma3	PNMA3
Hspb3	HSPB3
Nudt16l1	NUDT16L1
Garem2	FAM59B
Arhgap12	ARHGAP12
Pnoc	PNOC
Cldn2	CLDN2
Mafa	MAFA
Hjurp	HJURP
Ifnk	IFNK
Lrp1b	LRP1B
Adam29	ADAM29
Dclre1c	DCLRE1C
Ube2f	UBE2F
Cxxc5	CXXC5
Intu	INTU
Stbd1	STBD1
Ankrd34b	ANKRD34B
Plpp7	PPAPDC3
Map7d1	MAP7D1
Gjb2	GJB2
Kcnj10	KCNJ10
Ttc19	TTC19
Acad8	ACAD8
Il17re	IL17RE
Ercc2	ERCC2
Dpf1	DPF1
Nov	NOV
Slc5a10	SLC5A10
Dnd1	DND1
Akap10	AKAP10
Fam120b	FAM120B
Rbm15	RBM15
F2rl3	F2RL3
Mib1	MIB1
Tex14	TEX14
Clec14a	CLEC14A
Astl	ASTL
Nrl	NRL
Napepld	NAPEPLD
Pqlc3	PQLC3
G2e3	G2E3
Insl6	INSL6
Rps23	RPS23
Fn1	FN1
Senp8	SENP8
Mbd3l2	MBD3L2
Fut8	FUT8
Rlbp1	RLBP1
Rhbdl2	RHBDL2
Poldip3	POLDIP3
Arhgef38	ARHGEF38
Rhno1	RHNO1
Fbln1	FBLN1
Il18	IL18
Tmem251	TMEM251
Fbrsl1	FBRSL1
Asap2	ASAP2
Il27	IL27
A430005L14Rik	C1ORF174
Slc45a4	SLC45A4
Klf7	KLF7
Ifi27l2a	IFI27L2
Olfr788	OR6C3
Mcmdc2	MCMDC2
Fbxo28	FBXO28
Npas2	NPAS2
Krtap7-1	KRTAP7-1
Spryd4	SPRYD4
Zc2hc1a	ZC2HC1A
Plekhf2	PLEKHF2
Dpy19l3	DPY19L3
Amer3	FAM123C
Mau2	MAU2
Pcdh20	PCDH20
Mc4r	MC4R
Olfr873	OLFR18
Pgm2l1	PGM2L1
Pgbd5	PGBD5
Fancm	FANCM
Camta1	CAMTA1
Helt	HELT
Olfr223	OLFR223
Henmt1	HENMT1
Ulk4	ULK4
Tmed2	TMED2
Gli2	GLI2
Ccdc69	CCDC69
Xbp1	XBP1
Uqcr10	UQCR10
Isca1	ISCA1
Pcbp1	PCBP1
Cd300e	CD300E
Txndc2	TXNDC2
Kcng3	KCNG3
Borcs5	LOH12CR1
Il1rl1	IL1RL1
Olfr1496	OLFR1496
Olfr780	OR6C68
Tnfrsf26	TNFRSF10C
Cep68	CEP68
Lingo3	LINGO3
Klhl11	KLHL11
Exd1	EXD1
Nhlrc1	NHLRC1
Tmem196	TMEM196
Msgn1	MSGN1
Vcpkmt	METTL21D
Usp48	USP48
Nf2	NF2
Lsm14b	LSM14B
Skor1	SKOR1
Nrsn1	NRSN1
Pcdhb17	PCDHB16
Irak2	IRAK2
Fam71b	FAM71B
Kcnv2	KCNV2
Sh3tc2	SH3TC2
Ticam1	TICAM1
Aqp3	AQP3
Epb41l2	EPB41L2
Evc2	EVC2
Oxgr1	OXGR1
Wdr41	WDR41
Vstm4	VSTM4
Pcdh1	PCDH1
Tmem161b	TMEM161B
Olfr125	OR14J1
Kcna1	KCNA1
Ubqln3	UBQLN3
Olfr94	OLFR94
Syt12	SYT12
Gjd3	GJD3
Proser1	PROSER1
