pleurodeles	eggnog
UBR7	UBR7
HSPA14	HSPA14
ARHGAP22	ARHGAP22
MCMBP	MCMBP
REXO5	REXO5
CCDC117	CCDC117
C3orf17	C3orf17
SP2	SP2
EXOSC8	EXOSC8
RNF40	RNF40
EDEM1	EDEM1
KDSR	KDSR
apopt1	apopt1
TMEM150C	TMEM150C
BIVM	BIVM
KRT7	KRT7
PXK	PXK
ZNF800	ZNF800
SLC26A10	SLC26A10
TPRG1L	TPRG1L
C10orf11	C10orf11
FAM219A	FAM219A
DTX2	DTX2
CA4	CA4
CYP1B1	CYP1B1
WNT8B	WNT8B
ADAMTSL1	ADAMTSL1
TC2N	TC2N
FGF9	FGF9
KAT8	KAT8
UTP11L	UTP11L
PRCC	PRCC
KCNA3	KCNA3
RPS6KA6	RPS6KA6
BCL2L13	BCL2L13
LEO1	LEO1
RTTN	RTTN
FAM101A	FAM101A
HTRA1	HTRA1
ORC2	ORC2
DEK	DEK
BRWD1	BRWD1
MCM6	MCM6
TBL2	TBL2
MB21D1	MB21D1
SSFA2	SSFA2
C9orf117	C9orf117
ACOX2	ACOX2
PXMP4	PXMP4
SLC4A9	SLC4A9
GPR89A	GPR89B
pitpnb	pitpnb
SHISA7	SHISA7
MURC	MURC
PDDC1	PDDC1
dpf1	dpf1
C1orf123	C1orf123
VPS25	VPS25
klf17	klf17
SRF	SRF
RDH12	RDH12
LAS1L	LAS1L
OGDHL	OGDHL
CTNS	CTNS
VPS51	VPS51
ZNF804B	ZNF804B
SYS1	SYS1
AMDHD2	AMDHD2
CHST3	CHST3
USP15	USP15
HTR2C	HTR2C
FTSJ1	FTSJ1
ETV3	ETV3
ACTL6B	ACTL6B
TMEM66	TMEM66
TNFRSF21	TNFRSF21
ABCB7	ABCB7
GJD2	GJD2
CRK	CRK
DPH7	DPH7
DNAJC7	DNAJC7
PHOSPHO2	PHOSPHO2
C14orf159	C14orf159
NTHL1	NTHL1
LATS1	LATS1
SS18	SS18
KLF15	KLF15
EMC10	EMC10
PSMG2	PSMG2
LITAF	LITAF
DDX20	DDX20
C3orf33	C3orf33
PLA2G16	PLA2G16
TMEM194B	TMEM194B
PLEKHA4	PLEKHA4
MCTS1	MCTS1
FASTKD3	FASTKD3
KLHL32	KLHL32
TAF5L	TAF5L
ZNF609	ZNF609
SSTR2	SSTR2
NXPH2	NXPH2
HTR2A	HTR2A
SLC26A11	SLC26A11
TBKBP1	TBKBP1
ILVBL	ILVBL
PARP14	PARP14
NUDT22	NUDT22
CCDC149	CCDC149
CCDC59	CCDC59
DCBLD2	DCBLD2
CERS1	CERS1
PKM	PKM
ACTR1B	ACTR1B
TRIM25	TRIM25
FASTKD1	FASTKD1
GPR26	GPR26
LIN9	LIN9
BRMS1	BRMS1
GAS6	GAS6
MED6	MED6
DESI1	DESI1
COMP	COMP
CYTH4	CYTH4
NDEL1	NDEL1
SLC44A4	SLC44A4
RAB9A	RAB9A
NAPRT	NAPRT
ZNF414	ZNF414
ZBTB38	ZBTB38
SCRT2	SCRT2
CCDC22	CCDC22
C5orf42	C5orf42
PEX11A	PEX11A
RAMP2	RAMP2
DNAL1	DNAL1
KBTBD3	KBTBD3
C4BPA	C4BPA
LTB	LTB
CA10	CA10
SMS	SMS
WDYHV1	WDYHV1
BLMH	BLMH
DLEU7	DLEU7
LRRIQ1	LRRIQ1
TIMELESS	TIMELESS
METTL16	METTL16
NPTN	NPTN
ACSBG1	ACSBG1
DTWD1	DTWD1
PELI1	PELI1
IDUA	IDUA
ZFR2	ZFR2
DBNDD1	DBNDD1
SLC39A13	SLC39A13
PRPF31	PRPF31
USP21	USP21
INSIG1	INSIG1
MFAP4	MFAP4
CDK5RAP1	CDK5RAP1
EIF4E3	EIF4E3
RIOK3	RIOK3
im:7160594	im:7160594
RPUSD4	RPUSD4
TPM1	TPM1
MRPL9	MRPL9
CLK3	CLK3
SCPEP1	SCPEP1
MGAT4B	MGAT4B
HNRNPAB	HNRNPAB
SSC5D	SSC5D
NUTF2	NUTF2
ZNF507	ZNF507
NMRAL1	NMRAL1
BSCL2	BSCL2
PROS1	PROS1
TPST1	TPST1
ALOX5	ALOX5
ACAN	ACAN
SAMHD1	SAMHD1
PRKAG1	PRKAG1
AKR7A2	AKR7A2
ICA1L	ICA1L
EXO1	EXO1
ADO	ADO
ZNF653	ZNF653
PSMB10	PSMB10
BRD4	BRD4
DROSHA	DROSHA
MTMR2	MTMR2
ATXN3	ATXN3
NFKBIB	NFKBIB
CXorf56	CXorf56
PSTPIP2	PSTPIP2
SLC25A46	SLC25A46
ATXN2L	ATXN2L
ARPIN	ARPIN
GRK6	GRK6
STAT4	STAT4
WWOX	WWOX
HLA-DRB1	HLA-DRB1
NEBL	NEBL
CCDC114	CCDC114
ZFYVE20	ZFYVE20
HS6ST2	HS6ST2
ITM2A	ITM2A
CALY	CALY
MMP21	MMP21
CXADR	CXADR
alox15	alox15
EPB41L4A	EPB41L4A
VPS4B	VPS4B
CCDC101	CCDC101
DKC1	DKC1
HLF	HLF
CDC37	CDC37
TMEM200B	TMEM200B
METAP2	METAP2
OIP5	OIP5
NUCB2	NUCB2
PTPRA	PTPRA
ZNF703	ZNF703
SLC35F6	SLC35F6
PPP2R1B	PPP2R1B
XXYLT1	XXYLT1
CTU1	CTU1
DAZAP1	DAZAP1
rcn3	rcn3
TBCCD1	tbccd1
ACYP2	ACYP2
MAPK15	MAPK15
TREX1	TREX1
ATP8B2	ATP8B2
MCU	MCU
DUSP10	DUSP10
CPSF7	CPSF7
GGACT	GGACT
DNMBP	DNMBP
FKBP9	FKBP9
RFC5	RFC5
TOP3B	TOP3B
SAP18	SAP18
VPS41	VPS41
VHL	VHL
MRPL37	MRPL37
TMEM33	TMEM33
P2RX4	P2RX4
CMTM5	CMTM5
SLC25A37	SLC25A37
CIITA	CIITA
NOS3	NOS3
OLFM2	OLFM2
C1orf109	C1orf109
EAF1	EAF1
C16orf71	C16orf71
PNKD	PNKD
MUS81	MUS81
PSMD12	PSMD12
WNT4	WNT4
IFFO1	IFFO1
ST7	ST7
SH3BP4	SH3BP4
CDKL1	CDKL1
PTGIS	PTGIS
EARS2	EARS2
FDXR	FDXR
THEMIS	THEMIS
PSAT1	PSAT1
SMPD2	SMPD2
ACAD11	ACAD11
SPATA18	SPATA18
RHOG	RHOG
sdcbp	sdcbp
AKAP2	AKAP2
METAP1	METAP1
uts2r	uts2r
NOTCH4	NOTCH4
FAM220A	FAM220A
FAM89B	FAM89B
SDC2	SDC2
PARP9	PARP9
FIBCD1	FIBCD1
PMF1	PMF1
PLEKHB1	PLEKHB1
GLIS2	GLIS2
EIF4E	EIF4E
CORIN	CORIN
TIMM44	TIMM44
ARL9	ARL9
MED18	MED18
CNTN1	CNTN1
ZNF316	ZNF316
SLC17A9	SLC17A9
CTAGE5	CTAGE5
EIF1B	EIF1B
KCTD7	KCTD7
GCA	GCA
ABCA4	ABCA4
SKP2	SKP2
COG7	COG7
SUCLG2	SUCLG2
MACROD2	MACROD2
MMP19	MMP19
CDKN2C	CDKN2C
AKR1B1	AKR1B10
DLST	DLST
UNC5B	UNC5B
ASPG	ASPG
PPRC1	PPRC1
GHRH	GHRH
MORN3	MORN3
SEC14L2	SEC14L2
SLC15A1	SLC15A1
CDKN2D	CDKN2D
WBP1	WBP1
RAVER1	RAVER1
NFYB	NFYB
PPARD	PPARD
C1QC	C1QC
LEPROT	LEPROT
ATP6V0B	ATP6V0B
CNOT2	CNOT2
SP110	SP100
CCNK	CCNK
ABCD1	ABCD1
MTRF1	MTRF1
PANK1	PANK1
DTWD2	DTWD2
FAM73A	FAM73A
BRCA1	BRCA1
FBN3	FBN3
TNPO2	TNPO2
STK16	STK16
OLFM1	OLFM1
GABRA3	GABRA3
CEBPD	CEBPD
TGM2	TGM2
SUSD5	SUSD5
NXNL2	NXNL2
LSM2	LSM2
CPNE5	CPNE5
PLPPR2	PLPPR2
UGT3A2	UGT3A2
HMCES	HMCES
FBXO6	FBXO6
SENP3	SENP3
TRIM35	TRIM35
MAB21L1	MAB21L1
MOB2	MOB2
TTLL2	TTLL2
PPP1R16A	PPP1R16A
ZFHX4	ZFHX4
NUDT5	NUDT5
NCF2	NCF2
WHAMM	WHAMM
C1QTNF5	C1QTNF5
MIER2	MIER2
CCDC65	CCDC65
JMJD4	JMJD4
PSMA5	PSMA5
PIRT	PIRT
GPR3	GPR3
FAM124A	FAM124A
SMIM1	SMIM1
ZFAND6	ZFAND6
TXNDC5	TXNDC5
ADAMTS15	ADAMTS15
C6orf106	C6orf106
RTN4R	RTN4R
MYCBPAP	MYCBPAP
CARF	CARF
TMEM106B	TMEM106B
PPP3R1	PPP3R1
ITCH	ITCH
NME9	NME9
ACTR8	ACTR8
PAM16	PAM16
FAH	FAH
PHLDB2	PHLDB2
adamtsl5	adamtsl5
SFT2D2	SFT2D2
CDAN1	CDAN1
CSGALNACT2	CSGALNACT2
METTL10	METTL10
HHIPL1	HHIPL1
KLHL24	KLHL24
SIDT1	SIDT1
EDEM2	EDEM2
PSIP1	PSIP1
MRPL11	MRPL11
BMI1	BMI1
SOX2	SOX2
COL5A1	COL5A1
SPARCL1	SPARCL1
CSRNP1	CSRNP1
ART5	ART5
JUNB	JUNB
SOX18	SOX18
ALDH2	ALDH2
PTGES3	PTGES3
C19orf24	C19orf24
MYO1B	MYO1B
HS1BP3	HS1BP3
MDH1B	MDH1B
KIAA1161	KIAA1161
ERGIC3	ERGIC3
SULT4A1	SULT4A1
TRABD	TRABD
OSBP2	OSBP2
LRRC59	LRRC59
USP3	USP3
AATF	AATF
IFIH1	IFIH1
PTPRH	PTPRH
CLVS1	CLVS1
NAA50	NAA50
GBE1	GBE1
PANK4	PANK4
POMGNT1	POMGNT1
CLEC11A	CLEC11A
FGD6	FGD6
RNF126	RNF126
PTCHD4	PTCHD4
NFKB2	NFKB2
AP2S1	AP2S1
RPGR	RPGR
IFITM10	IFITM10
ATPAF1	ATPAF1
FAM47E	FAM47E
SOS1	SOS1
GABRG1	GABRG1
CHP2	CHP2
RHBDL1	RHBDL1
KCTD21	KCTD21
HELZ2	HELZ2
C1orf174	C1orf174
LRGUK	LRGUK
TRMU	TRMU
ZBTB42	ZBTB42
NMBR	NMBR
RAB1B	RAB1B
MSH2	MSH2
DCAF13	DCAF13
TMEM101	TMEM101
ZMPSTE24	ZMPSTE24
RRP9	RRP9
POU4F2	POU4F2
SPSB1	SPSB1
FGF1	FGF1
CCDC135	CCDC135
prepl	prepl
AAGAB	AAGAB
VANGL1	VANGL1
SLC6A6	SLC6A6
GPR63	GPR63
FUT1	FUT2
LGALS12	LGALS12
PRSS23	PRSS23
DUSP18	DUSP18
PTGIR	PTGIR
C16orf45	C16orf45
RIN3	RIN3
CBWD1	CBWD1
MAF1	MAF1
SDR39U1	SDR39U1
OPRD1	OPRD1
ANKRD34A	ANKRD34A
CORO2A	CORO2A
UBE2G2	UBE2G2
SH3YL1	SH3YL1
FSD1L	FSD1L
PSMD5	PSMD5
NEK8	NEK8
DPF3	DPF3
PSKH1	PSKH1
SOCS3	SOCS3
CREB5	CREB5
WDR45B	WDR45B
NFIC	NFIC
DNAJC4	DNAJC4
GPR39	GPR39
TFB2M	TFB2M
CAMLG	CAMLG
ACSF2	ACSF2
ADI1	ADI1
RWDD4	RWDD4
ANTXR1	ANTXR1
EYA2	EYA2
PCDH19	PCDH19
TMEM71	TMEM71
SRPX2	SRPX2
NKAP	NKAP
STXBP2	STXBP2
AMACR	AMACR
BCL2L14	BCL2L14
FLVCR1	FLVCR1
SYT14	SYT14
PDXDC1	PDXDC1
RARA	RARA
STMN3	STMN3
CCDC28A	CCDC28A
CYP11A1	CYP11A1
AZIN2	AZIN2
SPIRE2	SPIRE2
RAD54L	RAD54L
HM13	HM13
NKAIN2	NKAIN2
SPAST	SPAST
TUB	TUB
MYO16	MYO16
SERTAD4	SERTAD4
CSMD3	CSMD3
ICE1	ICE1
P2RY4	P2RY4
PCGF6	PCGF6
TMEM56	TMEM56
ODC1	ODC1
ATP6V1H	ATP6V1H
BATF3	BATF3
abhd15	abhd15
USP44	USP44
CHP1	CHP1
CNPY3	CNPY3
COL9A2	COL9A2
NLN	NLN
CERKL	CERKL
ISOC1	ISOC1
PHLDB3	PHLDB3
DDX26B	DDX26B
BRD9	BRD9
PREP	PREP
NOC3L	NOC3L
TRIM39	TRIM39
NR1D1	NR1D1
IDH2	IDH2
PRPF3	PRPF3
DDX11	DDX11
STK39	STK39
TMEM17	TMEM17
ATF3	ATF3
LDHA	LDHA
TMED4	TMED4
CDC16	CDC16
GREB1	GREB1
ARL4D	ARL4D
KIAA0391	KIAA0391
ALKBH3	ALKBH3
PLA2R1	PLA2R1
EIF2D	EIF2D
CD59	CD59
PADI1	PADI1
SRA1	SRA1
NUFIP1	NUFIP1
ZNF511	ZNF511
ECHDC3	ECHDC3
MYL9	MYL9
NSRP1	NSRP1
GNAT2	GNAT2
TMEM134	TMEM134
SLC46A2	SLC46A2
PHGDH	PHGDH
BRD7	BRD7
PCK2	PCK2
TNFRSF17	TNFRSF17
ERCC2	ERCC2
LRWD1	LRWD1
PSMD14	PSMD14
HIRIP3	HIRIP3
MANEAL	MANEAL
DCAKD	DCAKD
ELL	ELL
ASB6	ASB6
ARFIP1	ARFIP1
ACTR10	ACTR10
GRIN2D	GRIN2D
PNPLA3	PNPLA3
KCNH5	KCNH5
WASHC1	WASHC1
ZUFSP	ZUFSP
KCNJ2	KCNJ2
ky	ky
MKNK1	MKNK1
RNF146	RNF146
ANKDD1A	ANKDD1A
EFCAB7	EFCAB7
KLHL22	KLHL22
TMEM223	TMEM223
PPARGC1A	PPARGC1A
GPR62	GPR62
ARHGAP28	ARHGAP28
PLCD4	PLCD4
FRRS1	FRRS1
NMI	NMI
GPATCH2	GPATCH2
EGR1	EGR1
CGNL1	CGNL1
TM2D1	TM2D1
IFT88	IFT88
RORA	RORA
EGFL7	EGFL7
PSMC6	PSMC6
THRA	THRA
PIGG	PIGG
CAPN10	CAPN10
RFT1	RFT1
FAM200A	FAM200A
LAMTOR4	LAMTOR4
TOPBP1	TOPBP1
PDIA4	PDIA4
TNR	TNR
C1orf53	C1orf53
PCDHA5	PCDHA5
SLC27A4	slc27a4
IL17RD	IL17RD
CD68	CD68
RNF168	RNF168
EBF2	EBF2
RGS18	RGS18
RGS7BP	RGS7BP
EIF1	EIF1
C6orf136	C6orf136
CIDEB	CIDEB
Prr36	Prr36
TMEM100	TMEM100
BAHD1	BAHD1
MRPS7	MRPS7
CNTNAP1	CNTNAP1
DNM1L	DNM1L
RAPGEF6	RAPGEF6
LRRC45	LRRC45
DNPEP	DNPEP
NMNAT2	NMNAT2
PSMB1	PSMB1
TIGD3	TIGD3
PTPLB	PTPLB
BCKDK	BCKDK
HSF1	hsf1
DACH2	DACH2
ATXN7L1	ATXN7L1
EPB41L4B	EPB41L4B
PHYKPL	PHYKPL
MAML1	MAML1
NKX6-1	NKX6-1
OSGEP	OSGEP
EMILIN1	EMILIN1
BEND2	BEND2
FGFR1OP2	FGFR1OP2
GNA14	GNA14
ARIH1	ARIH1
MUT	MUT
SPTY2D1	SPTY2D1
SHC2	SHC2
HSP90AA1	HSP90AA1
RER1	RER1
WDR76	WDR76
ARNTL	ARNTL
PRKCD	PRKCD
ABCC3	ABCC3
ATG4A	ATG4A
RBM34	RBM34
CNOT3	CNOT3
CRADD	CRADD
IGDCC3	IGDCC3
UBL3	UBL3
FUT9	FUT9
KIAA1328	KIAA1328
GNAI1	GNAI1
ING5	ING5
COA1	COA1
GALNT12	GALNT12
REXO4	REXO4
SFRP4	SFRP4
TIMM13	TIMM13
SYT10	SYT10
IL23R	IL23R
GOT2	GOT2
C4orf33	C4orf33
FBXO16	FBXO16
CRTAC1	CRTAC1
SEMA7A	SEMA7A
wdr17	wdr17
CHAD	CHAD
RPUSD2	RPUSD2
EPHB6	EPHB6
SPRYD3	SPRYD3
BCL7A	BCL7A
TAF4B	TAF4B
CSNK2A1	CSNK2A1
DTL	DTL
ITPKA	ITPKA
OCIAD2	OCIAD2
MIEF1	MIEF1
FOXQ1	FOXQ1
FNBP1	FNBP1
TPTE2	TPTE2
ATM	ATM
MMD	MMD
GGPS1	GGPS1
PRR11	PRR11
ERG	ERG
PRIMPOL	PRIMPOL
SET	SET
PSTPIP1	PSTPIP1
TBCB	TBCB
UTP14A	UTP14A
SUGT1	SUGT1
PAPD4	PAPD4
Car15	Car15
DRD5	DRD5
C17orf97	C17orf97
SOX5	SOX5
AP4M1	AP4M1
LMO7	LMO7
ISG20L2	ISG20L2
PEX11G	PEX11G
BPGM	BPGM
SDF2L1	SDF2L1
CBFB	CBFB
NEMF	NEMF
DEDD2	DEDD2
ID3	ID3
TEAD3	TEAD3
ZFP36L1	ZFP36L1
WDFY4	WDFY4
RAD17	RAD17
RAB44	RAB44
GABPB1	GABPB1
POC5	POC5
ASF1B	ASF1B
LDLRAD4	LDLRAD4
MAMDC2	MAMDC2
ACSM3	ACSM3
TMEM251	TMEM251
PTGES2	PTGES2
HMGB2	HMGB2
MTMR7	MTMR7
APITD1	APITD1
APCS	APCS
AKT1S1	AKT1S1
LDB3	LDB3
MED8	MED8
SLC10A3	SLC10A3
FIGNL1	FIGNL1
PPP1R14A	PPP1R14A
CHMP2B	CHMP2B
TAF1A	TAF1A
GTPBP10	GTPBP10
OPLAH	OPLAH
KCNJ4	KCNJ4
FAM8A1	FAM8A1
COQ3	COQ3
SLMO1	SLMO1
CCDC71	CCDC71
F11R	F11R
KIF9	KIF9
HGSNAT	HGSNAT
FAM161A	FAM161A
SNAP23	SNAP23
SCN1A	SCN1A
CDKN1A	CDKN1A
ADD3	ADD3
HS2ST1	HS2ST1
BCKDHB	BCKDHB
phf11	phf11
NOP2	NOP2
C6orf203	C6orf203
PLD3	PLD3
FAM46B	fam46b
CENPL	CENPL
CYP51A1	CYP51A1
SMAD6	SMAD6
DDX52	DDX52
POU2F1	POU2F1
BRIP1	BRIP1
FGR	FGR
CYP26C1	CYP26C1
EEF1D	EEF1D
SGCG	SGCG
PTH2R	PTH2R
PLOD2	PLOD2
NUP54	NUP54
RFC1	RFC1
SNX16	SNX16
RAB11B	RAB11B
DUSP19	DUSP19
HMG20B	HMG20B
CCDC47	CCDC47
HIGD1B	HIGD1B
MXRA5	MXRA5
PRMT1	PRMT1
PRMT2	PRMT2
C11orf87	C11orf87
ZCCHC17	ZCCHC17
PSAP	PSAP
E4F1	E4F1
MYOT	MYOT
ARSD	ARSD
OSBPL3	OSBPL3
POLD4	POLD4
ENKD1	ENKD1
CCDC127	CCDC127
ROPN1	ROPN1
IRAK2	IRAK2
BMP6	BMP6
TGM6	TGM6
SPATA7	SPATA7
TMEM62	TMEM62
TRAPPC8	TRAPPC8
SPATS2	SPATS2
GNB5	GNB5
MIIP	MIIP
COQ5	COQ5
MRPL41	MRPL41
VIL1	VIL1
DHODH	DHODH
TRAP1	TRAP1
KPNA2	KPNA2
RABL2B	RABL2B
NICN1	NICN1
SLC41A2	SLC41A2
CCBL2	CCBL2
ACRC	ACRC
SRRM3	SRRM3
HES5	HES5
HADH	HADH
MCM5	MCM5
LHX9	LHX9
ID4	ID4
CLP1	CLP1
GSTP1	GSTP1
CCDC57	CCDC57
SLC7A6	SLC7A6
PIGL	PIGL
FNTA	FNTA
TEN1	TEN1
GPR183	GPR183
KCNRG	KCNRG
HEG1	HEG1
RFX7	RFX7
PAK4	PAK4
TRAC	TRAC
TAGLN3	TAGLN3
HNRNPH3	HNRNPH3
MEST	MEST
CITED2	CITED2
GTSE1	GTSE1
GAS8	GAS8
NCLN	NCLN
PIM2	PIM2
MELK	MELK
SPATA5L1	SPATA5L1
METTL17	METTL17
SH3BGR	SH3BGR
SLFN11	SLFN11
NEK5	NEK5
CHEK1	CHEK1
ERI2	ERI2
CXCR6	CXCR6
PUS7	PUS7
POT1	POT1
CDT1	CDT1
AQP3	AQP3
MGAT4D	MGAT4D
RPL6	RPL6
RCC1	RCC1
NEK6	NEK6
SNTG2	SNTG2
CD248	CD248
CLIP3	CLIP3
htra4	htra4
KIAA0586	KIAA0586
FADD	FADD
TCTA	TCTA
VAMP5	VAMP5
GTPBP4	GTPBP4
STX8	STX8
PHF12	PHF12
CNOT11	CNOT11
SRSF9	SRSF9
GLCCI1	GLCCI1
SALL2	SALL2
TRAV2	TRAV2
TGFBI	TGFBI
CKAP4	CKAP4
DDX55	DDX55
MBTPS2	MBTPS2
KIAA1586	KIAA1586
RBM20	RBM20
POLI	POLI
FIBIN	FIBIN
LPAR2	LPAR2
LRRC32	LRRC32
ADAMTS18	ADAMTS18
PAPSS1	PAPSS1
RAB9B	RAB9B
MCTP2	MCTP2
DIO3	DIO3
CCT8L2	CCT8L2
FITM2	FITM2
ARV1	ARV1
CLSTN2	clstn2
FOXS1	irf10
TMEM80	TMEM80
RPL3	RPL3
RNF103	RNF103
CEP83	CEP83
GALM	GALM
PAQR8	PAQR8
APEH	APEH
TPX2	TPX2
E2F4	E2F4
HTR1F	HTR1F
SPRY2	SPRY2
TRIP13	TRIP13
PPAPDC2	PPAPDC2
STK38	STK38
TMEM200A	TMEM200A
DDX1	DDX1
SCML4	SCML4
DNAJC24	DNAJC24
CD2BP2	CD2BP2
PTGER1	PTGER1
PPM1M	PPM1M
MRPL19	MRPL19
HCRTR1	HCRTR1
FPGT	FPGT
CTU2	CTU2
TMEM260	TMEM260
SH2B3	SH2B3
GSN	GSN
C10orf90	C10orf90
MRPL18	MRPL18
RNF208	RNF208
LCA5	LCA5
NCEH1	NCEH1
SHH	SHH
44441	2-Sep
BAAT	BAAT
HCN3	HCN3
TMEM41B	TMEM41B
LYL1	LYL1
RALYL	RALYL
PLEKHA8	PLEKHA8
LTV1	LTV1
L3MBTL2	L3MBTL2
PGPEP1	PGPEP1
PHB2	PHB2
SZRD1	SZRD1
PRDM12	PRDM12
IL31RA	IL31RA
KLHL36	KLHL36
FGF7	FGF7
OXSM	OXSM
FAM57A	FAM57A
PLS1	PLS1
RAB28	RAB28
RNPC3	RNPC3
MSANTD4	MSANTD4
PORCN	PORCN
SYT9	SYT9
CCNI	CCNI
PDXK	PDXK
DEPDC5	DEPDC5
FGF17	FGF17
ZBTB24	ZBTB24
HAT1	HAT1
SLC2A4	SLC2A4
CDC6	CDC6
DBP	DBP
PIM1	PIM1
EPS8L2	EPS8L2
PIK3CG	PIK3CG
TM6SF1	TM6SF1
PROZ	PROZ
GLB1	GLB1
POLA2	POLA2
GFI1B	GFI1B
XPA	XPA
LANCL2	LANCL2
TAF8	TAF8
OTP	OTP
PLEKHB2	PLEKHB2
EDNRA	EDNRA
TPD52	TPD52
ATP6V1E1	ATP6V1E1
OPTN	OPTN
HELQ	HELQ
ELF3	ELF3
VMA21	VMA21
MRPS18C	MRPS18C
TOX4	TOX4
PAK1	PAK1
SEPSECS	SEPSECS
TMPO	TMPO
rab4b	rab4b
GNPTG	GNPTG
hook2	hook2
RBBP5	RBBP5
ZFYVE27	ZFYVE27
HGH1	HGH1
HBS1L	HBS1L
NSUN5	NSUN5
FAM155A	FAM155A
RBM17	RBM17
DENND1A	DENND1A
FST	FST
CANT1	CANT1
NUDT7	NUDT7
WBP2	WBP2
KLF10	KLF10
TRIT1	TRIT1
ZBTB14	ZBTB14
PLA2G15	PLA2G15
PCOLCE2	PCOLCE2
MYADM	MYADM
EFHC2	EFHC2
EIF1AD	EIF1AD
CACNA1B	CACNA1B
ABHD14A	ABHD14A
TRMT44	TRMT44
IFT43	IFT43
NAIF1	NAIF1
QTRT1	QTRT1
ZNF488	ZNF488
IKZF2	IKZF2
SCRG1	SCRG1
CERS4	CERS4
FAM86A	FAM86A
TMEM203	TMEM203
GDI2	GDI2
RAI2	RAI2
DDX18	DDX18
MMP28	MMP28
THAP4	THAP4
UBE2L6	UBE2L6
MADCAM1	MADCAM1
GATSL2	GATSL2
GBP1	GBP1
SYK	SYK
HPS1	HPS1
PRDM1	PRDM1
RBM18	RBM18
PJA2	PJA2
NARFL	NARFL
HOOK1	HOOK1
ZNHIT1	ZNHIT1
SLC45A1	SLC45A1
ATG4B	ATG4B
H2AFY2	H2AFY2
C5orf24	C5orf24
PSTK	PSTK
TRAPPC12	TRAPPC12
JAM3	JAM3
AKAP17A	AKAP17A
C14orf132	C14orf132
STT3A	STT3A
LEPREL2	LEPREL2
FUT7	FUT7
UBE2V2	UBE2V2
rhou	rhou
INSM1	INSM1
DNAJC27	DNAJC27
EED	EED
STARD5	STARD5
HPCAL1	HPCAL1
GLE1	GLE1
IKBKB	IKBKB
SACS	SACS
DGCR2	DGCR2
DOC2A	DOC2A
GGNBP2	GGNBP2
MTFR1	MTFR1
RMDN2	RMDN2
pkdcc	pkdcc
GSTT1	GSTT1L
IL16	IL16
GALK1	GALK1
PGM1	PGM1
ANXA6	ANXA6
LSM4	LSM4
UNG	UNG
KLHL8	KLHL8
IGFBP3	IGFBP3
TMEM123	TMEM123
HAX1	HAX1
EPHA8	EPHA8
CLCN6	CLCN6
ALAD	ALAD
KCNJ10	KCNJ10
ZBTB49	ZBTB49
GUF1	GUF1
LDHB	LDHB
RBM27	RBM27
SUMF1	SUMF1
TIMM21	TIMM21
ENO4	ENO4
ASPHD2	ASPHD2
SPDL1	SPDL1
SCRN1	SCRN1
CCNT1	CCNT1
PPP1R11	PPP1R11
HDGFL2	HDGFL2
FASTKD5	FASTKD5
NKX2-2	NKX2-2
FRA10AC1	FRA10AC1
DPYS	DPYS
MRPL38	MRPL38
RHOJ	RHOJ
AOAH	AOAH
ARHGEF40	ARHGEF40
HSPG2	HSPG2
npy8br	NPY3R
FIS1	FIS1
smurf2	smurf2
HSPA5	HSPA5
NCDN	NCDN
RBM8A	RBM8A
RAB13	RAB13
EIF2B2	EIF2B2
NEURL1B	NEURL1B
MRVI1	MRVI1
URI1	URI1
SPATS2L	SPATS2L
AARSD1	AARSD1
RAD23B	RAD23B
ANGPTL4	ANGPTL4
SMAD5	SMAD5
NMT2	NMT2
ARL5A	ARL5A
DEF6	DEF6
C10orf105	C10orf105
SOD1	SOD1
PFKM	PFKM
METTL13	METTL13
IRG1	IRG1
pus7l	PUS7L
BUD13	BUD13
EXT1	EXT1
SETDB2	SETDB2
SURF2	SURF2
Msx3	Msx3
STARD13	STARD13
RAB7A	RAB7A
PTCD2	PTCD2
ITGA1	ITGA1
ABHD17B	ABHD17B
IRF2	IRF2
RAD9A	RAD9A
TRADD	TRADD
NR2E1	NR2E1
SPAG6	SPAG6
METTL6	METTL6
UBA2	UBA2
NDC1	NDC1
MXI1	MXI1
GPLD1	GPLD1
GRAP	GRAP
ANKRD39	ANKRD39
C17orf80	C17orf80
CYP7B1	CYP7B1
CHGB	CHGB
MYCL	MYCL
PIBF1	PIBF1
GALNS	GALNS
KIAA1257	KIAA1257
RCBTB2	RCBTB2
CEP95	CEP95
TBL1X	TBL1X
DDX31	DDX31
BYSL	BYSL
EMC7	EMC7
CD200R1	CD200R1
ANP32E	ANP32E
SDF2	SDF2
LHPP	LHPP
CHAT	CHAT
TMC7	TMC7
TPCN3	TPCN3
GPX1	GPX1
CD180	CD180
NOA1	NOA1
BACH2	BACH2
FAM129A	FAM129A
TMEM168	TMEM168
C11orf70	C11orf70
OGFOD3	OGFOD3
C6orf226	C6orf226
TLX1	TLX1
atp5g3	atp5g3
DOLPP1	DOLPP1
MAX	MAX
Ankrd63	Ankrd63
GORASP2	GORASP2
CCDC18	CCDC18
SPRY4	SPRY4
KRT3	KRT3
PTBP3	PTBP3
ADRA1D	ADRA1D
TMED1	TMED1
HSD17B4	HSD17B4
CPNE2	CPNE2
NARF	NARF
INTS10	INTS10
EIF3J	EIF3J
CAPNS1	CAPNS1
PLAA	PLAA
PHAX	PHAX
