turtle	eggnog
SPIRE2	SPIRE2
TCF25	TCF25
MC1R	MC1R
TUBB3	TUBB6
DEF8	DEF8
DBNDD1	DBNDD1
GAS8	GAS8
TMEM52B	TMEM52B
GABARAPL1	GABARAPL1
STYK1	STYK1
SYCE3	SYCE3
YBX3	CSDA
PHC1	PHC1
M6PR	M6PR
AICDA	AICDA
MFAP5	MFAP5
RIMKLB	RIMKLB
A2ML1	A2ML1
TM4SF4	TM4SF4
WWTR1	WWTR1
COMMD2	COMMD2
ANKUB1	ANKUB1
RNF13	RNF13
PFN2	PFN2
TSC22D2	TSC22D2
SERP1	SERP1
EIF2A	EIF2A
ETAA1	ETAA1
C1D	C1D
WDR92	WDR92
PNO1	PNO1
CNRIP1	CNRIP1
PLEK	PLEK
NPAT	NPAT
ACAT1	ACAT1
CUL5	CUL5
RAB39A	RAB39A
SLC35F2	SLC35F2
ELMOD1	ELMOD1
ALKBH8	ALKBH8
CWF19L2	CWF19L2
GUCY1A2	GUCY1A2
AASDHPPT	AASDHPPT
KBTBD3	KBTBD3
MSANTD4	MSANTD4
GRIA4	GRIA4
LAMB4	LAMB4
LAMB1	LAMB1
DLD	DLD
SLC26A3	SLC26A3
CBLL1	CBLL1
SLC26A4	SLC26A4
BCAP29	BCAP29
DUS4L	DUS4L
COG5	COG5
GPR22	GPR22
HBP1	HBP1
PRKAR2B	PRKAR2B
PIK3CG	PIK3CG
CCDC71L	CCDC71L
NAMPT	NAMPT
SYPL1	SYPL1
CDHR3	CDHR3
ATXN7L1	ATXN7L1
RINT1	RINT1
PUS7	PUS7
TRMT2B	TRMT2B
TMEM35	TMEM35
CENPI	CENPI
DRP2	DRP2
TAF7L	TAF7
TIMM8A	TIMM8A
BTK	BTK
GLA	GLA
GLRA4	GLRA4
PLP1	PLP1
RAB9B	RAB9B
SLC25A53	SLC25A53
FRMPD3	FRMPD3
PIH1D3	PIH1D3
NUP62CL	NUP62
RBM41	RBM41
MORC4	MORC4
CLDN2	CLDN2
RIPPLY1	RIPPLY1
PRRG3	PRRG3
FATE1	FATE1
CNGA2	CNGA2
GABRE	GABRE
GABRA3	GABRA3
GABRQ	GABRQ
KCNMA1	KCNMA1
DLG5	DLG5
POLR3A	POLR3A
RPS24	RPS24
SLC12A7	SLC12A7
SLC6A19	SLC6A19
SLC6A18	SLC6A18
TERT	TERT
CLPTM1L	CLPTM1L
LPCAT1	LPCAT1
IRX4	IRX4
SLC45A1	SLC45A1
ERRFI1	ERRFI1
PARK7	PARK7
TNFRSF9	TNFRSF9
UTS2	UTS2
VAMP3	VAMP3
CAMTA1	CAMTA1
DNAJC11	DNAJC11
THAP3	THAP3
PHF13	PHF13
KLHL21	KLHL21
ZBTB48	ZBTB48
NOL9	NOL9
PLEKHG5	PLEKHG5
TNFRSF25	TNFRSF25
ESPN	ESPN
HES2	HES2
ACOT7	ACOT7
GPR153	GPR153
HES3	HES3
ICMT	ICMT
NMUR1	NMUR1
EIF4E2	EIF4E2
CHRNG	CHRNG
CHRND	CHRND
PRSS56	PRSS56
ECEL1	ECEL1
DIS3L2	DIS3L2
NPPC	NPPC
COPS7B	COPS7B
PDE6D	PDE6D
PTMA	RTL1
B3GNT7	B3GNT7
ARMC9	ARMC9
PSMD1	PSMD1
HTR2B	HTR2B
RPL35A	RPL35A
IQCG	IQCG
LRCH3	LRCH3
FYTTD1	FYTTD1
KIAA0226	KIAA0226
MUC4	MUC4
TNK2	TNK2
TFRC	TFRC
ZDHHC19	ZDHHC19
PPP1R15B	PPP1R15B
PLEKHA6	PLEKHA6
GOLT1A	GOLT1A
KISS1	KISS1
REN	REN
ETNK2	ETNK2
SOX13	SOX13
SNRPE	SNRPE
ZC3H11A	ZC3H11A
ATP2B4	ATP2B4
OPTC	OPTC
PRELP	PRELP
FMOD	FMOD
BTG2	BTG2
PIFO	PIFO
CCND3	CCND3
BYSL	BYSL
MED20	MED20
USP49	USP49
PRICKLE4	PRICKLE4
FRS3	FRS3
TFEB	TFEB
MDFI	MDFI
FOXP4	FOXP4
NFYA	NFYA
OARD1	OARD1
APOBEC2	APOBEC2
TSPO2	TSPO2
SCLT1	SCLT1
JADE1	PHF17
PGRMC2	PGRMC2
LARP1B	LARP1B
MFSD8	MFSD8
PLK4	PLK4
HSPA4L	HSPA4L
SLC25A31	SLC25A31
INTU	INTU
FKBP15	FKBP15
SLC31A1	SLC31A1
CDC26	CDC26
PRPF4	PRPF4
RNF183	RNF183
WDR31	WDR31
AMBP	AMBP
CCDC183	KIAA1984
RABL6	RABL6
PHPT1	PHPT1
MAMDC4	MAMDC4
EDF1	EDF1
TRAF2	TRAF2
FBXW5	FBXW5
BSPRY	BSPRY
HDHD3	HDHD3
ALAD	ALAD
POLE3	POLE3
RGS3	RGS3
ZNF618	ZNF618
AQP6	AQP6
RACGAP1	RACGAP1
ASIC1	ASIC1
SMARCD1	SMARCD1
GPD1	GPD1
CERS5	CERS5
LIMA1	LIMA1
LARP4	LARP4
DIP2B	DIP2B
ATF1	ATF1
TMPRSS12	TMPRSS12
SCN8A	SCN8A
FIGNL2	FIGNL2
ANKRD33	ANKRD33
ACVRL1	ACVRL1
ACVR1B	ACVR1B
GRASP	GRASP
NR4A1	NR4A1
ATG101	C12ORF44
PRPF40B	PRPF40B
FMNL3	FMNL3
TMBIM6	TMBIM6
NCKAP5L	NCKAP5L
KANSL2	KANSL2
CCNT1	CCNT1
ADCY6	ADCY6
CACNB3	CACNB3
DDX23	DDX23
RND1	RND1
CCDC65	CCDC65
FKBP11	FKBP11
ARF3	ARF3
WNT10B	WNT10B
WNT1	WNT1
DDN	DDN
PRKAG1	PRKAG1
KMT2D	MLL2
RHEBL1	RHEBL1
DHH	DHH
LMBR1L	LMBR1L
PRPH	PRPH
TROAP	TROAP
DNAJC22	DNAJC22
SPATS2	SPATS2
KCNH3	KCNH3
MCRS1	MCRS1
ITGA7	ITGA7
CD63	CD63
GDF11	GDF11
MAN2C1	MAN2C1
SIN3A	SIN3A
PTPN9	PTPN9
SNUPN	SNUPN
SNX33	SNX33
CSPG4	CSPG4
ODF3L1	ODF3L1
LINGO1	LINGO1
HMG20A	HMG20A
PEAK1	PEAK1
TSPAN3	TSPAN3
PSTPIP1	PSTPIP1
RCN2	RCN2
ELP3	ELP3
PNOC	PNOC
ZNF395	ZNF395
NCOA1	NCOA1
PTRHD1	PTRHD1
CENPO	CENPO
ADCY3	ADCY3
DNAJC27	DNAJC27
EFR3B	EFR3B
POMC	POMC
STMN4	STMN4
TRIM35	TRIM35
PTK2B	PTK2B
CHRNA2	CHRNA2
PDGFD	PDGFD
GPC5	GPC5
RNF182	RNF182
CD83	CD83
JARID2	JARID2
DTNBP1	DTNBP1
MYLIP	MYLIP
GMPR	GMPR
ATXN1	ATXN1
KLHL1	KLHL1
ASTL	ASTL
DUSP2	DUSP2
STARD7	STARD7
TMEM127	TMEM127
CIAO1	CIAO1
SNRNP200	SNRNP200
ITPRIPL1	ITPRIPL1
NCAPH	NCAPH
ARID5A	ARID5A
KANSL3	KANSL3
LMAN2L	LMAN2L
CNNM4	CNNM4
CNNM3	CNNM3
ANKRD23	ANKRD23
SEMA4C	SEMA4C
PURB	PURB
POLM	POLM
SH2D6	SH2D6
MAT2A	MAT2A
GGCX	GGCX
VAMP8	VAMP8
VAMP5	VAMP5
RNF181	RNF181
TMEM150A	TMEM150A
USP39	USP39
SFTPB	SFTPB
PAX8	PAX8
PSD4	PSD4
IL1B	IL1B
CKAP2L	CKAP2L
IGFALS	IGFALS
NUBP2	NUBP2
SPSB3	SPSB3
MRPS34	MRPS34
NME3	NME3
MAPK8IP3	MAPK8IP3
HN1L	HN1L
CRAMP1L	CRAMP1L
IFT140	IFT140
TMEM204	TMEM204
TELO2	TELO2
RNPS1	RNPS1
CLCN7	CLCN7
LUC7L	LUC7L
ITFG3	ITFG3
RGS11	RGS11
ARHGDIG	ARHGDIG
PDIA2	PDIA2
AXIN1	AXIN1
AP2S1	AP2S1
ARHGAP35	ARHGAP35
TMEM160	TMEM160
SDHAF1	SDHAF1
TBCB	TBCB
POLR2I	POLR2I
WDR62	WDR62
CLIP3	CLIP3
ALKBH6	ALKBH6
CHP2	CHP2
PTGIR	PTGIR
GNG8	GNG8
DACT3	DACT3
PRKD2	PRKD2
STRN4	STRN4
FKRP	FKRP
SLC1A5	SLC1A5
CCDC61	CCDC61
NANOS2	NANOS2
NOVA2	NOVA2
SYMPK	SYMPK
DMWD	DMWD
DMPK	DMPK
SIX5	SIX5
SNRPD2	SNRPD2
HIF3A	HIF3A
PPP5C	PPP5C
PTTG1IP	PTTG1IP
DGKG	DGKG
ETV5	ETV5
IGF2BP2	IGF2BP2
SENP2	SENP2
LIPH	LIPH
TMEM41A	TMEM41A
MAP3K13	MAP3K13
EHHADH	EHHADH
VPS8	VPS8
NME9	NME9
DBR1	DBR1
PPP2R3A	PPP2R3A
MSL2	MSL2
BRPF3	BRPF3
MAPK13	MAPK13
MAPK14	MAPK14
TENM4	TENM4
NARS2	NARS2
NBEAL2	NBEAL2
CCDC12	CCDC12
OPN1SW	OPN1SW
CALU	CALU
KCP	KCP
ATP6V1F	ATP6V1F
FLNC	FLNC
CCDC136	CCDC136
TNPO3	TNPO3
IRF5	IRF5
IL15RA	IL15RA
TSGA13	TSGA13
MEST	MEST
CEP41	CEP41
CPA2	CPA4
TMEM209	TMEM209
KLHDC10	KLHDC10
ZC3HC1	ZC3HC1
UBE2H	UBE2H
NRF1	NRF1
STRIP2	STRIP2
AHCYL2	AHCYL2
SMO	SMO
TSPAN33	TSPAN33
TPH1	TPH1
SERGEF	SERGEF
KCNC1	KCNC1
MYOD1	MYOD1
OTOG	OTOG
USH1C	USH1C
ABCC8	ABCC8
KCNJ11	KCNJ11
NCR3LG1	NCR3LG1
PIK3C2A	PIK3C2A
RPS13	RPS13
PLEKHA7	PLEKHA7
FEN1	FEN1
TMEM258	C11ORF10
MYRF	C11ORF9
DAGLA	DAGLA
SYT7	SYT7
LRRC10B	LRRC10B
PPP1R32	PPP1R32
SDHAF2	SDHAF2
CPSF7	CPSF7
TMEM216	TMEM216
TMEM138	TMEM138
DAK	DAK
DDB1	DDB1
VWCE	VWCE
FADS1	FADS1
INCENP	INCENP
FTH1	FTH1
BEST1	BEST1
TMEM179B	TMEM179B
TAF6L	TAF6L
TUT1	TUT1
MTA2	MTA2
B3GAT3	B3GAT3
GANAB	GANAB
INTS5	INTS5
METTL12	METTL12
TMEM261	C9ORF123
UBXN1	UBXN1
LRRN4CL	LRRN4CL
BSCL2	BSCL2
GNG3	GNG3
HNRNPUL2	HNRNPUL2
TTC9C	TTC9C
ZBTB3	ZBTB3
POLR2G	POLR2G
EEF1G	EEF1G
AHNAK	AHNAK
CC2D2A	CC2D2A
FBXL5	FBXL5
BST1	BST1
CD38	CD38
FGFBP1	FGFBP1
FGFBP2	FGFBP2
PROM1	PROM1
TAPT1	TAPT1
LDB2	LDB2
QDPR	QDPR
CLRN2	CLRN2
LAP3	LAP3
MED28	MED28
FAM184B	FAM184B
NCAPG	NCAPG
IMPDH1	IMPDH1
PRRT4	PRRT4
RBM28	RBM28
LEP	LEP
SND1	SND1
LRRC4	LRRC4
PAX4	PAX4
FSCN3	FSCN3
GCC1	GCC1
DENND6B	DENND6B
PPP6R2	PPP6R2
SBF1	SBF1
ADM2	ADM2
MIOX	MIOX
LMF2	LMF2
NCAPH2	NCAPH2
TYMP	TYMP
OGFRL1	OGFRL1
ASRGL1	ASRGL1
RIMS1	RIMS1
KCNQ5	KCNQ5
GUCY2C	GUCY2C
PLBD1	PLBD1
ATF7IP	ATF7IP
GRIN2B	GRIN2B
EMP1	EMP1
GSG1	GSG1
KIAA1467	KIAA1467
HEBP1	HEBP1
GPRC5A	GPRC5A
DDX47	DDX47
APOLD1	APOLD1
GAK	GAK
TMEM175	TMEM175
MYL5	MYL5
ATP5I	ATP5I
PDE6B	PDE6B
IDUA	IDUA
SLC26A1	SLC26A1
DGKQ	DGKQ
MFSD7	MFSD7
PCGF3	PCGF3
DDX10	DDX10
EXPH5	EXPH5
KDELC2	KDELC2
ATM	ATM
SLC39A10	SLC39A10
STK17B	STK17B
HECW2	HECW2
CCDC150	CCDC150
GTF3C3	GTF3C3
ANKRD44	ANKRD44
SF3B1	SF3B1
COQ10B	COQ10B
HSPD1	HSPD1
RFTN2	RFTN2
BOLL	BOLL
REEP2	REEP2
KDM3B	KDM3B
FAM53C	FAM53C
CDC25C	CDC25C
GFRA3	GFRA3
CDC23	CDC23
KIF20A	KIF20A
BRD8	BRD8
NHP2	NHP2
RMND5B	RMND5B
N4BP3	N4BP3
B4GALT7	B4GALT7
TMED9	TMED9
LMAN2	LMAN2
RGS14	RGS14
F12	F12
GRK6	GRK6
PRR7	PRR7
DBN1	DBN1
PDLIM7	PDLIM7
DOK3	DOK3
DDX41	DDX41
FAM193B	FAM193B
PRELID1	PRELID1
RAB24	RAB24
NSD1	NSD1
FGFR4	FGFR4
ZNF346	ZNF346
UIMC1	UIMC1
UNC5A	UNC5A
SNCB	SNCB
GPRIN1	GPRIN1
CDHR2	CDHR2
RNF44	RNF44
FAF2	FAF2
CLTB	CLTB
HIGD2A	HIGD2A
NOP16	NOP16
ARL10	ARL10
KIAA1191	KIAA1191
SIMC1	SIMC1
THOC3	THOC3
CPLX2	CPLX2
HRH2	HRH2
AEBP2	AEBP2
PLEKHA5	PLEKHA5
CAPZA3	CAPZA3
PLCZ1	PLCZ1
PIK3C2G	PIK3C2G
RERGL	RERGL
OTC	OTC
CCDC138	CCDC138
EDAR	EDAR
SH3RF3	SH3RF3
SEPT10	SEPT10
SOWAHC	SOWAHC
CHAMP1	CHAMP1
UPF3A	UPF3A
CDC16	CDC16
RASA3	RASA3
GAS6	GAS6
TMEM255B	FAM70B
EFEMP1	EFEMP1
CCDC85A	CCDC85A
STXBP1	STXBP1
FAM129B	FAM129B
SLC31A2	SLC31A2
CACNA1B	CACNA1B
EHMT1	EHMT1
ARRDC1	ARRDC1
NELFB	COBRA1
MED17	MED17
VSTM5	VSTM5
HEPHL1	HEPHL1
PANX1	PANX1
GPR83	GPR83
MRE11A	MRE11A
FUT4	FUT4
PIWIL4	PIWIL4
AMOTL1	AMOTL1
CWC15	CWC15
ENDOD1	ENDOD1
SESN3	SESN3
FAM76B	FAM76B
CEP57	CEP57
MTMR2	MTMR2
MAML2	MAML2
FRMPD4	FRMPD4
MSL3	MSL3
REPS2	REPS2
RNF38	RNF38
TRIM14	TRIM14
NANS	NANS
CCIN	CCIN
CLTA	CLTA
GNE	GNE
CPLX1	CPLX1
SEMA7A	SEMA7A
UBL7	UBL7
CLK3	CLK3
EDC3	EDC3
CSK	CSK
CPLX3	CPLX3
EBF4	EBF4
VPS16	VPS16
IDH3B	IDH3B
NOP56	NOP56
DCTN1	DCTN1
WDR54	WDR54
RTKN	RTKN
INO80B	INO80B
WBP1	WBP1
MOGS	MOGS
CCDC142	CCDC142
TTC31	TTC31
PCGF1	PCGF1
DQX1	DQX1
AUP1	AUP1
HTRA2	HTRA2
LOXL3	LOXL3
DOK1	DOK1
M1AP	C2ORF65
SRPX	SRPX
SYTL5	SYTL5
DYNLT3	DYNLT3
XK	XK
LANCL3	LANCL3
PRRG1	PRRG1
SORCS1	SORCS1
SH3TC1	SH3TC1
HTRA3	HTRA3
ACOX3	ACOX3
TRMT44	TRMT44
GPR78	GPR78
CPZ	CPZ
HMX1	HMX1
ADRA2C	ADRA2C
BAK1	BAK1
ITPR3	ITPR3
IP6K3	IP6K3
LEMD2	LEMD2
MLN	MLN
SIPA1L1	SIPA1L1
PCNX	PCNX
FAT4	FAT4
LUZP1	LUZP1
KDM1A	KDM1A
ZMPSTE24	ZMPSTE24
RLF	RLF
DEPDC1B	DEPDC1B
ELOVL7	ELOVL7
ERCC8	ERCC8
NDUFAF2	NDUFAF2
SMIM15	C5ORF43
ZSWIM6	ZSWIM6
KHNYN	NYNRIN
NFATC4	NFATC4
ADCY4	ADCY4
LTB4R	LTB4R
LTB4R2	LTB4R2
CIDEB	CIDEB
NOP9	NOP9
RABGGTA	RABGGTA
TGM1	TGM1
TINF2	TINF2
GMPR2	GMPR2
MDP1	MDP1
TSSK4	TSSK4
TM9SF1	TM9SF1
IPO4	IPO4
REC8	REC8
IRF9	IRF9
RNF31	RNF31
PSME2	PSME2
EMC9	EMC9
PSME1	PSME1
FITM1	FITM1
DCAF11	DCAF11
NRL	NRL
CPNE6	CPNE6
LRRC16B	LRRC16B
JPH4	JPH4
AP1G2	AP1G2
ZFHX2	ZFHX2
THTPA	THTPA
NGDN	NGDN
CMTM5	CMTM5
IL25	IL25
EFS	EFS
PPP1R3E	PPP1R3E
HOMEZ	HOMEZ
SLC7A8	SLC7A8
CEBPE	CEBPE
ACIN1	ACIN1
PSMB11	PSMB11
PSMB5	PSMB5
HAUS4	HAUS4
PRMT5	PRMT5
RBM23	RBM23
REM2	REM2
LRP10	LRP10
MMP14	MMP14
MRPL52	MRPL52
SLC7A7	SLC7A7
SLC38A7	SLC38A7
CNOT1	CNOT1
SETD6	SETD6
NDRG4	NDRG4
GINS3	GINS3
PRSS54	PRSS54
CCDC113	CCDC113
MMP15	MMP15
USB1	USB1
TEPP	TEPP
CNGB1	CNGB1
KIFC3	KIFC3
KATNB1	KATNB1
CCDC135	CCDC135
GPR97	GPR97
EEA1	EEA1
CCDC47	CCDC47
STRADA	STRADA
LIMD2	LIMD2
MAP3K3	MAP3K3
DCAF7	DCAF7
KCNH6	KCNH6
ACE	ACE
TANC2	TANC2
CCDC86	CCDC86
PRPF19	PRPF19
TMEM109	TMEM109
TMEM132A	TMEM132A
SLC15A3	SLC15A3
CD6	CD6
VPS37C	VPS37C
DGCR6L	DGCR6
SCARF2	SCARF2
RTN4R	RTN4R
NLGN1	NLGN1
SPATA16	SPATA16
ECT2	ECT2
GRM4	GRM4
RPS10	RPS10
PACSIN1	PACSIN1
SPDEF	SPDEF
SNRPC	SNRPC
UHRF1BP1	UHRF1BP1
TAF11	TAF11
ANKS1A	ANKS1A
TCP11	TCP11
SCUBE3	SCUBE3
TBC1D22B	TBC1D22B
THEGL	THEGL
HOPX	HOPX
SPINK2	SPINK2
MFHAS1	MFHAS1
ERI1	ERI1
PPP1R3B	PPP1R3B
TNKS	TNKS
DUSP4	DUSP4
CHEK2	CHEK2
HSCB	HSCB
CCDC117	CCDC117
XBP1	XBP1
ZNRF3	ZNRF3
KREMEN1	KREMEN1
AADAT	AADAT
MFAP3L	MFAP3L
NEK1	NEK1
SH3RF1	SH3RF1
CBR4	CBR4
PALLD	PALLD
DDX60	DDX60
SERINC5	SERINC5
THBS4	THBS4
MTX3	MTX3
CMYA5	CMYA5
PAPD4	PAPD4
HOMER1	HOMER1
JMY	JMY
DMGDH	DMGDH
ARSB	ARSB
LHFPL2	LHFPL2
NOVA1	NOVA1
GNB3	GNB3
CD4	CD4
LAG3	LAG3
MLF2	MLF2
COPS7A	COPS7A
PIANP	PIANP
ING4	ING4
ACRBP	ACRBP
LPAR5	LPAR5
CHD4	CHD4
NOP2	NOP2
IFFO1	IFFO1
MRPL51	MRPL51
VAMP1	VAMP1
SCNN1A	SCNN1A
FBXO40	FBXO40
KPNA1	KPNA1
FAM162A	FAM162A
CCDC58	CCDC58
CSTA	CSTA
SPRED1	SPRED1
FAM98B	FAM98B
RASGRP1	RASGRP1
SCG5	SCG5
GREM1	GREM1
FMN1	FMN1
EFCC1	CCDC48
ACAD9	ACAD9
CAMKV	CAMKV
TRAIP	TRAIP
MON1A	MON1A
MST1R	MST1R
RBM5	RBM5
RBM6	RBM6
SLC38A3	SLC38A3
GNAI2	GNAI2
GNAT1	GNAT1
SEMA3F	SEMA3F
TMEM132E	TMEM132E
LIG3	LIG3
RFFL	RFFL
RAD51D	RAD51D
ST3GAL2	ST3GAL2
AARS	AARS
MTSS1L	MTSS1L
VAC14	VAC14
CMTR2	FTSJD1
CALB2	CALB2
SLC39A2	SLC39A2
METTL17	METTL17
PNP	PNP
TMEM55B	TMEM55B
APEX1	APEX1
OSGEP	OSGEP
KLHL33	KLHL33
TEP1	TEP1
PARP2	PARP2
BAZ1B	BAZ1B
FZD9	FZD9
FKBP6	FKBP6
MROH2A	HEATR7B1
NSUN5	NSUN5
POM121	POM121
HIP1	HIP1
MLXIPL	MLXIPL
TBL2	TBL2
BCL7B	BCL7B
MKS1	MKS1
STX1A	STX1A
WBSCR22	WBSCR22
DNAJC30	DNAJC30
VPS37D	VPS37D
RCC2	RCC2
ARHGEF10L	ARHGEF10L
IGSF21	IGSF21
KLHDC7A	KLHDC7A
TMEM183A	TMEM183A
PPFIA4	PPFIA4
MYOG	MYOG
ADORA1	ADORA1
MYBPH	MYBPH
DENND2D	DENND2D
CEPT1	CEPT1
DRAM2	DRAM2
LRIF1	LRIF1
UBE2T	UBE2T
LGR6	LGR6
PTPN7	PTPN7
ARL8A	ARL8A
GPR37L1	GPR37L1
ELF3	ELF3
RNPEP	RNPEP
CCDC66	CCDC66
FAM208A	FAM208A
ARHGEF3	ARHGEF3
IL17RD	IL17RD
UCKL1	UCKL1
ZNF512B	ZNF512B
SAMD10	SAMD10
PRPF6	PRPF6
SOX18	SOX18
TCEA2	TCEA2
RGS19	RGS19
LKAAEAR1	C20ORF201
OPRL1	OPRL1
NPBWR2	NPBWR2
ATP4B	ATP4B
TFDP1	TFDP1
TMCO3	TMCO3
EPOR	EPOR
SWSAP1	SWSAP1
CCDC159	CCDC159
TMEM205	TMEM205
RAB3D	RAB3D
SLC25A23	SLC25A23
DENND1C	DENND1C
TNFSF14	TNFSF14
AGRP	AGRP
LCAT	LCAT
KIAA0895L	KIAA0895L
TMEM208	TMEM208
LRRC29	LRRC29
ELMO3	ELMO3
E2F4	E2F4
CTRL	CTRL
PSKH1	PSKH1
NRN1L	NRN1L
EDC4	EDC4
NUTF2	NUTF2
THAP11	THAP11
CENPT	CENPT
TSNAXIP1	TSNAXIP1
RANBP10	RANBP10
GFOD2	GFOD2
ENKD1	ENKD1
IL34	IL34
SF3B3	SF3B3
COG4	COG4
FUK	FUK
BZRAP1	BZRAP1
SUPT4H1	SUPT4H1
HSF5	HSF5
MTMR4	MTMR4
ABHD11	ABHD11
CLDN3	CLDN3
SEPT4	SEPT4
LIMK1	LIMK1
GPR123	GPR123
HES1	HES1
CPN2	CPN2
LRRC15	LRRC15
GP5	GP5
ATP13A3	ATP13A3
TMEM44	TMEM44
LSG1	LSG1
FAM43A	FAM43A
XXYLT1	XXYLT1
ACAP2	ACAP2
DUSP3	DUSP3
SOST	SOST
MEOX1	MEOX1
ETV4	ETV4
DHX8	DHX8
ARL4D	ARL4D
TMEM106A	TMEM106A
NBR1	NBR1
VAT1	VAT1
IFI35	IFI35
RPL27	RPL27
RUNDC1	RUNDC1
AOC2	AOC2
PSME3	PSME3
BECN1	BECN1
CNTD1	CNTD1
WNK4	WNK4
VPS25	VPS25
RAMP2	RAMP2
CCR10	CCR10
PLEKHH3	PLEKHH3
FAM134C	FAM134C
PSMC3IP	PSMC3IP
MLX	MLX
ATP6V0A1	ATP6V0A1
PTRF	PTRF
STAT3	STAT3
LRSAM1	LRSAM1
RPL12	RPL12
ZMYND19	ZMYND19
DPH7	WDR85
MRPL41	MRPL41
PNPLA7	PNPLA7
NSMF	NELF
MSMP	MSMP
RGP1	RGP1
GBA2	GBA2
CREB3	CREB3
TLN1	TLN1
CA9	CA9
FAM166B	FAM166B
RUSC2	RUSC2
UNC13B	UNC13B
RPLP2	RPLP2
PIDD1	PIDD
SLC25A22	SLC25A22
CEND1	CEND1
PDDC1	PDDC1
TALDO1	TALDO1
EPS8L2	EPS8L2
TMEM80	TMEM80
DEAF1	DEAF1
DRD4	DRD4
CDHR5	CDHR5
IRF7	IRF7
PHRF1	PHRF1
RASSF7	RASSF7
LRRC56	LRRC56
TBC1D2B	TBC1D2B
SH2D7	SH2D7
CIB2	CIB2
IDH3A	IDH3A
ACSBG1	ACSBG1
DNAJA4	DNAJA4
CRABP1	CRABP1
IREB2	IREB2
PSMA4	PSMA4
CHRNA5	CHRNA5
CHRNA3	CHRNA3
CHRNB4	CHRNB4
UBE2Q2	UBE2Q2
FBXO22	FBXO22
NRG4	NRG4
KCNMB1	KCNMB1
LCP2	LCP2
FOXI1	FOXI1
GLRA3	GLRA3
HPGD	HPGD
CEP44	CEP44
DGKD	DGKD
SAG	SAG
ATG16L1	ATG16L1
INPP5D	INPP5D
NEU2	NEU2
NGEF	NGEF
GIGYF2	GIGYF2
KCNJ13	KCNJ13
EFHD1	EFHD1
SLC35G2	SLC35G2
STAG1	STAG1
PCCB	PCCB
CCNB1IP1	CCNB1IP1
XPO6	XPO6
NME4	NME4
DECR2	DECR2
RAB11FIP3	RAB11FIP3
CAPN15	SOLH
PIGQ	PIGQ
RAB40C	RAB40C
FAM195A	FAM195A
ABCA3	ABCA3
LPIN2	LPIN2
EMILIN2	EMILIN2
SMCHD1	SMCHD1
NDC80	NDC80
METTL4	METTL4
PPP2R2B	PPP2R2B
GPR151	GPR151
TCERG1	TCERG1
RBM27	RBM27
LARS	LARS
PLAC8L1	PLAC8L1
SH3RF2	SH3RF2
GRXCR2	GRXCR2
PRELID2	PRELID2
RASGRP4	RASGRP4
SPRED3	SPRED3
GGN	GGN
PSMD8	PSMD8
CATSPERG	CATSPERG
MEIS3	MEIS3
SLC8A2	SLC8A2
KPTN	KPTN
ZNF541	ZNF541
GLTSCR1	GLTSCR1
EHD2	EHD2
GLTSCR2	GLTSCR2
PRSS16	PRSS16
ATP5SL	ATP5SL
B3GNT8	B3GNT8
BCKDHA	BCKDHA
EXOSC5	EXOSC5
TMEM91	TMEM91
B9D2	B9D2
TGFB1	TGFB1
SACS	SACS
TNFRSF19	TNFRSF19
MIPEP	MIPEP
SPATA13	SPATA13
RELT	RELT
ARHGEF17	ARHGEF17
P2RY6	P2RY6
P2RY2	P2RY2
FCHSD2	FCHSD2
CLCN5	CLCN5
CCNB3	CCNB3
SHROOM4	SHROOM4
BMP15	BMP15
PHKA1	PHKA1
HDAC8	HDAC8
CITED1	CITED1
DPP7	DPP7
MAN1B1	MAN1B1
UAP1L1	UAP1L1
SAPCD2	SAPCD2
ENTPD2	ENTPD2
TMEM141	TMEM141
CLIC3	CLIC3
ABCA2	ABCA2
FUT7	FUT7
NPDC1	NPDC1
GLT8D2	GLT8D2
TDG	TDG
HSP90B1	HSP90B1
GRAMD3	GRAMD3
ALDH7A1	ALDH7A1
PHAX	PHAX
LMNB1	LMNB1
MARCH3	MARCH3
OLFML2B	OLFML2B
ATF6	ATF6
NICN1	NICN1
AMT	AMT
TCTA	TCTA
UBA7	UBA7
FAM212A	FAM212A
IP6K1	IP6K1
GMPPB	GMPPB
RNF123	RNF123
AMIGO3	AMIGO3
MST1	MST1
APEH	APEH
BSN	BSN
GPX1	GPX1
USP4	USP4
ATHL1	ATHL1
IFITM5	IFITM5
B4GALNT4	B4GALNT4
PKP3	PKP3
SIGIRR	SIGIRR
ANO9	ANO9
PTDSS2	PTDSS2
SYT12	SYT12
CPNE1	CPNE1
RBM12	RBM12
NFS1	NFS1
ROMO1	ROMO1
RBM39	RBM39
CHUK	CHUK
ERLIN1	ERLIN1
ADAM8	ADAM8
TUBGCP2	TUBGCP2
ZNF511	ZNF511
CALY	CALY
ECHS1	ECHS1
SPRN	SPRN
MTG1	MTG1
PAOX	PAOX
NOXA1	NOXA1
EXD3	EXD3
ARSA	ARSA
RABL2B	RABL2A
NME6	NME6
HCLS1	HCLS1
GOLGB1	GOLGB1
CADM3	CADM3
ACKR1	DARC
DUSP23	DUSP23
IGSF9	IGSF9
TAGLN2	TAGLN2
CCDC19	CCDC19
VSIG8	VSIG8
SLAMF8	SLAMF8
